time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697353236.45,48.2,0.45,0.32,0,0.41
1697353236.55,47.71,0.51,0.32,0,0.41
1697353236.65,47.71,0.51,0.32,0,0.41
1697353236.75,47.71,0.51,0.32,0,0.41
1697353236.85,47.71,0.51,0.32,0,0.41
1697353236.95,47.71,0.51,0.32,0,0.41
1697353237.05,47.71,0.51,0.32,0,0.41
1697353237.15,47.71,0.51,0.32,0,0.41
1697353237.25,47.71,0.51,0.32,0,0.41
1697353237.35,47.71,0.51,0.32,0,0.41
1697353237.45,47.71,0.51,0.32,0,0.41
1697353237.55,49.17,0.5,0.32,0,0.41
1697353237.65,49.17,0.5,0.32,0,0.41
1697353237.75,49.17,0.5,0.32,0,0.41
1697353237.85,49.17,0.5,0.32,0,0.41
1697353237.95,49.17,0.5,0.32,0,0.41
1697353238.05,49.17,0.5,0.32,0,0.41
1697353238.15,49.17,0.5,0.32,0,0.41
1697353238.25,49.17,0.5,0.32,0,0.41
1697353238.35,49.17,0.5,0.32,0,0.41
1697353238.45,49.17,0.5,0.32,0,0.41
1697353238.55,48.69,0.5,0.32,0,0.41
1697353238.65,48.69,0.5,0.32,0,0.41
1697353238.75,48.69,0.5,0.32,0,0.41
1697353238.85,48.69,0.5,0.32,0,0.41
1697353238.95,48.69,0.5,0.32,0,0.41
1697353239.05,48.69,0.5,0.32,0,0.41
1697353239.15,48.69,0.5,0.32,0,0.41
1697353239.25,48.69,0.5,0.32,0,0.41
1697353239.35,48.69,0.5,0.32,0,0.41
1697353239.45,48.69,0.5,0.32,0,0.41
1697353239.55,48.69,0.5,0.33,0,0.41
1697353239.65,48.69,0.5,0.33,0,0.41
1697353239.75,48.69,0.5,0.33,0,0.41
1697353239.85,48.69,0.5,0.33,0,0.41
1697353239.95,48.69,0.5,0.33,0,0.41
1697353240.05,48.69,0.5,0.33,0,0.41
1697353240.15,48.69,0.5,0.33,0,0.41
1697353240.25,48.69,0.5,0.33,0,0.41
1697353240.35,48.69,0.5,0.33,0,0.41
1697353240.45,48.69,0.5,0.33,0,0.41
1697353240.55,49.17,0.51,0.32,0,0.41
1697353240.65,49.17,0.51,0.32,0,0.41
1697353240.75,49.17,0.51,0.32,0,0.41
1697353240.85,49.17,0.51,0.32,0,0.41
1697353240.95,49.17,0.51,0.32,0,0.41
1697353241.05,49.17,0.51,0.32,0,0.41
