time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353237.09,-0.15,0.28,0.97,-0.5,1.9,48.7,1,0.05,-0.02,0.02
1697353237.1,-0.14,0.28,1.16,-0.6,1.4,48.6,1,0.05,-0.01,0.03
1697353237.11,-0.17,0.28,1.12,-0.9,1.1,48.5,1,0.05,-0.01,0.03
1697353237.12,-0.09,0.3,0.89,-0.9,0.8,48.4,1,0.05,-0.01,0.04
1697353237.13,-0.15,0.29,1.12,-0.9,0,48.3,1,0.05,-0.01,0.04
1697353237.14,-0.12,0.28,0.98,-1.4,-0.2,48.1,1,0.05,-0.01,0.05
1697353237.15,-0.11,0.25,1.02,-1.5,-0.7,47.9,1,0.05,-0.01,0.05
1697353237.16,-0.13,0.29,1.07,-1.2,-1.2,47.6,1,0.05,-0.02,0.06
1697353237.17,-0.21,0.25,1.15,-1.3,-1.6,47.6,1,0.05,-0.02,0.06
1697353237.18,-0.09,0.26,0.91,-0.8,-1.7,47.3,1,0.05,-0.02,0.07
1697353237.19,-0.14,0.25,0.98,-0.7,-1.1,47.1,1,0.05,-0.02,0.07
1697353237.2,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.21,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.22,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.23,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.24,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.25,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.26,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.27,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.28,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.29,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.3,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.31,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.32,-0.16,0.23,0.97,-0.5,-1.1,46.9,1,0.05,-0.02,0.07
1697353237.33,-0.16,0.23,0.97,0,-1.1,45.8,0.99,0.05,-0.01,0.12
1697353237.34,-0.14,0.2,0.99,-0.4,-0.6,45.6,0.99,0.05,-0.01,0.13
1697353237.35,-0.14,0.2,0.99,-0.6,-0.6,45.6,0.99,0.05,-0.01,0.13
1697353237.36,-0.09,0.26,0.96,-1.1,-0.4,44.9,0.99,0.05,-0.01,0.13
1697353237.37,-0.09,0.26,0.96,-1.1,-0.4,44.9,0.99,0.05,-0.01,0.14
1697353237.38,-0.09,0.24,0.88,-0.6,-0.3,44.6,0.99,0.05,-0.01,0.14
1697353237.39,-0.14,0.21,0.99,-0.6,-0.3,44.6,0.99,0.05,-0.01,0.15
1697353237.4,-0.13,0.2,0.99,-0.6,0,44.5,0.99,0.05,-0.01,0.15
1697353237.41,-0.15,0.2,1.09,-0.6,-0.2,44.4,0.99,0.05,-0.01,0.16
1697353237.42,-0.15,0.2,1.09,-0.6,-0.3,44.3,0.99,0.05,-0.01,0.16
1697353237.43,-0.13,0.19,1.14,-0.3,-0.6,44.3,0.99,0.05,-0.01,0.16
1697353237.44,-0.12,0.18,1.09,-0.2,-0.8,44.3,0.98,0.05,-0.01,0.17
1697353237.45,-0.1,0.19,1.06,-0.2,-0.9,44.2,0.98,0.05,-0.01,0.17
1697353237.46,-0.08,0.19,0.99,-0.1,-0.9,44.2,0.98,0.05,-0.01,0.17
1697353237.47,-0.12,0.17,1.03,0,-0.9,44,0.98,0.05,-0.01,0.18
1697353237.48,-0.09,0.19,0.83,0.2,-0.6,43.8,0.98,0.05,-0.01,0.18
1697353237.49,-0.09,0.2,0.9,0.4,-0.2,43.4,0.98,0.05,-0.01,0.19
1697353237.5,-0.11,0.18,1,0.3,-0.2,43.2,0.98,0.05,-0.01,0.19
1697353237.51,-0.08,0.19,0.92,0,0,43,0.98,0.05,-0.01,0.19
1697353237.52,-0.12,0.21,0.97,-0.2,0.1,42.8,0.98,0.05,-0.01,0.2
1697353237.53,-0.06,0.24,0.9,0.2,0,42.6,0.98,0.05,-0.01,0.2
1697353237.54,-0.15,0.2,1.09,0.2,0,42.5,0.98,0.05,-0.01,0.2
1697353237.55,-0.11,0.22,0.96,0,0.5,42.5,0.98,0.05,-0.01,0.21
1697353237.56,-0.08,0.21,1.1,0,0.5,42.5,0.98,0.05,-0.01,0.21
