time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697353560.55,48.69,0.49,0.32,0,0.41
1697353560.65,48.69,0.49,0.32,0,0.41
1697353560.75,48.69,0.49,0.32,0,0.41
1697353560.85,48.69,0.49,0.32,0,0.41
1697353560.95,48.69,0.49,0.32,0,0.41
1697353561.05,48.69,0.49,0.32,0,0.41
1697353561.15,48.69,0.49,0.32,0,0.41
1697353561.25,48.69,0.49,0.32,0,0.41
1697353561.35,48.69,0.49,0.32,0,0.41
1697353561.45,49.66,0.49,0.32,0,0.41
1697353561.55,49.66,0.49,0.32,0,0.41
1697353561.65,49.66,0.49,0.32,0,0.41
1697353561.75,49.66,0.49,0.32,0,0.41
1697353561.85,49.66,0.49,0.32,0,0.41
1697353561.95,49.66,0.49,0.32,0,0.41
1697353562.05,49.66,0.49,0.32,0,0.41
1697353562.15,49.66,0.49,0.32,0,0.41
1697353562.25,49.66,0.49,0.32,0,0.41
1697353562.35,49.66,0.49,0.32,0,0.41
1697353562.45,49.66,0.49,0.32,0,0.41
1697353562.55,48.69,0.46,0.32,0,0.41
1697353562.65,48.69,0.46,0.32,0,0.41
1697353562.75,48.69,0.46,0.32,0,0.41
1697353562.85,48.69,0.46,0.32,0,0.41
1697353562.95,48.69,0.46,0.32,0,0.41
1697353563.05,48.69,0.46,0.32,0,0.41
1697353563.15,48.69,0.46,0.32,0,0.41
1697353563.25,48.69,0.46,0.32,0,0.41
1697353563.35,48.69,0.46,0.32,0,0.41
1697353563.45,48.69,0.46,0.32,0,0.41
1697353563.55,49.17,0.44,0.32,0,0.41
1697353563.65,49.17,0.44,0.32,0,0.41
1697353563.75,49.17,0.44,0.32,0,0.41
1697353563.85,49.17,0.44,0.32,0,0.41
1697353563.95,49.17,0.44,0.32,0,0.41
1697353564.05,49.17,0.44,0.32,0,0.41
1697353564.15,49.17,0.44,0.32,0,0.41
1697353564.25,49.17,0.44,0.32,0,0.41
1697353564.35,49.17,0.44,0.32,0,0.41
1697353564.45,48.2,0.45,0.32,0,0.41
1697353564.55,48.2,0.45,0.32,0,0.41
1697353564.65,48.2,0.45,0.32,0,0.41
1697353564.75,48.2,0.45,0.32,0,0.41
1697353564.85,48.2,0.45,0.32,0,0.41
1697353564.95,48.2,0.45,0.32,0,0.41
1697353565.05,48.2,0.45,0.32,0,0.41
