time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697352244.65,0.21,1.1,0.51,-6.2,0.8,97,0.9,0.01,-0.01,0.43
1697352244.66,0.17,1.14,1.3,-6.2,-1.1,99.8,0.9,0.01,-0.01,0.44
1697352244.67,0.19,1.01,1.15,-6.2,-1.1,99.8,0.89,0.01,-0.01,0.45
1697352244.68,0.17,1.07,1.1,-3.6,-4.8,104.5,0.89,0.01,-0.01,0.46
1697352244.69,0.06,1.05,1.2,-1.5,-4.2,104.6,0.89,0.01,-0.01,0.46
1697352244.7,0.04,1.06,0.62,0.7,-3.3,102.6,0.88,0.01,-0.01,0.47
1697352244.71,-0.34,1.25,1.22,2.8,-0.9,98.9,0.88,0.01,-0.01,0.48
1697352244.72,-0.22,0.92,1.03,2.8,-0.9,98.9,0.87,0.01,-0.01,0.49
1697352244.73,-0.3,0.97,1.32,2.7,3.3,91,0.87,0.01,-0.01,0.5
1697352244.74,-0.11,0.88,0.81,2.7,3.3,91,0.86,0.01,-0.01,0.5
1697352244.75,-0.24,1.07,0.77,0.5,5.5,87.9,0.86,0.01,-0.01,0.51
1697352244.76,-0.24,1.07,0.77,-0.6,7.5,85.3,0.86,0.01,-0.01,0.52
1697352244.77,-0.32,1.04,1.14,-0.2,8.9,83.6,0.85,0.01,-0.01,0.52
1697352244.78,-0.35,1.18,1.1,0.7,9.1,84.2,0.85,0.01,-0.01,0.53
1697352244.79,-0.14,1.21,0.95,0.7,9.1,84.2,0.84,0.01,-0.01,0.54
1697352244.8,-0.16,1.36,0.61,1.2,8.7,86,0.84,0.01,-0,0.54
1697352244.81,-0.23,1.12,1.57,1.6,6.1,91.5,0.84,0.01,-0,0.55
1697352244.82,-0.23,1.12,1.57,1.6,6.1,91.5,0.84,0.01,-0,0.55
1697352244.83,0.1,1.16,0.85,1.9,4.3,93.8,0.83,0.01,-0,0.56
1697352244.84,0.1,1.16,0.85,-0.4,2.4,97.4,0.83,0.01,-0,0.56
1697352244.85,0.08,1.07,1.21,-1.9,0.6,100.4,0.82,0.01,-0,0.57
1697352244.86,0.12,1.22,1.04,-4.7,-1.3,104.2,0.82,0,-0,0.58
1697352244.87,0.24,1.05,1.16,-5.1,-2.2,106.9,0.81,0,-0,0.59
1697352244.88,0.18,1.27,0.86,-3.9,-3,106.9,0.81,0,-0,0.59
1697352244.89,-0.02,1.13,1.17,-0.6,-2.3,106.2,0.8,0,-0,0.6
1697352244.9,-0.05,1.06,0.7,3.6,-1.7,103.9,0.79,0,-0,0.61
1697352244.91,-0.18,1.11,0.94,6.5,0.5,100.1,0.79,0,-0,0.61
1697352244.92,-0.34,0.95,1.18,7,2.6,96.4,0.78,0,-0,0.62
1697352244.93,-0.22,1,0.54,3.8,6,91.5,0.78,0,-0,0.63
1697352244.94,-0.35,1.03,1.28,3.8,6,91.5,0.77,0,-0,0.64
1697352244.95,-0.23,1.15,0.93,0.9,8,88.7,0.76,0,-0,0.65
1697352244.96,-0.16,1.2,0.56,-1.1,9.3,87.2,0.76,0,-0,0.65
1697352244.97,-0.16,1.2,0.56,-1.1,9.3,87.2,0.76,0,-0,0.65
1697352244.98,-0.16,1.2,0.56,-1.1,9.3,87.2,0.76,0,-0,0.65
1697352244.99,-0.16,1.2,0.56,-1.1,9.3,87.2,0.76,0,-0,0.65
1697352245,-0.16,1.2,0.56,-1.1,9.3,87.2,0.76,0,-0,0.65
1697352245.01,-0.16,1.2,0.56,-1.1,9.3,87.2,0.76,0,-0,0.65
1697352245.02,-0.16,1.2,0.56,-1.1,9.3,87.2,0.76,0,-0,0.65
