time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697352398.45,49.66,0.52,0.32,0,0.41
1697352398.55,49.66,0.52,0.32,0,0.41
1697352398.65,49.66,0.52,0.32,0,0.41
1697352398.75,49.66,0.52,0.32,0,0.41
1697352398.85,49.66,0.52,0.32,0,0.41
1697352398.95,49.66,0.52,0.32,0,0.41
1697352399.05,49.66,0.52,0.32,0,0.41
1697352399.15,49.66,0.52,0.32,0,0.41
1697352399.25,49.66,0.52,0.32,0,0.41
1697352399.35,49.66,0.52,0.32,0,0.41
1697352399.45,50.63,0.5,0.32,0,0.41
1697352399.55,50.63,0.5,0.32,0,0.41
1697352399.65,50.63,0.5,0.32,0,0.41
1697352399.75,50.63,0.5,0.32,0,0.41
1697352399.85,50.63,0.5,0.32,0,0.41
1697352399.95,50.63,0.5,0.32,0,0.41
1697352400.05,50.63,0.5,0.32,0,0.41
1697352400.15,50.63,0.5,0.32,0,0.41
1697352400.25,50.63,0.5,0.32,0,0.41
1697352400.35,50.63,0.5,0.32,0,0.41
1697352400.45,49.66,0.5,0.32,0,0.41
1697352400.55,49.66,0.5,0.32,0,0.41
1697352400.65,49.66,0.5,0.32,0,0.41
1697352400.75,49.66,0.5,0.32,0,0.41
1697352400.85,49.66,0.5,0.32,0,0.41
1697352400.95,49.66,0.5,0.32,0,0.41
1697352401.05,49.66,0.5,0.32,0,0.41
1697352401.15,49.66,0.5,0.32,0,0.41
1697352401.25,49.66,0.5,0.32,0,0.41
1697352401.35,49.66,0.5,0.32,0,0.41
1697352401.45,49.66,0.5,0.32,0,0.41
1697352401.55,49.66,0.5,0.32,0,0.41
1697352401.65,49.66,0.5,0.32,0,0.41
1697352401.75,49.66,0.5,0.32,0,0.41
1697352401.85,49.66,0.5,0.32,0,0.41
1697352401.95,49.66,0.5,0.32,0,0.41
1697352402.05,49.66,0.5,0.32,0,0.41
1697352402.15,49.66,0.5,0.32,0,0.41
1697352402.25,49.66,0.5,0.32,0,0.41
1697352402.35,49.66,0.5,0.32,0,0.41
1697352402.45,50.63,0.51,0.32,0,0.41
1697352402.55,50.63,0.51,0.32,0,0.41
1697352402.65,50.63,0.51,0.32,0,0.41
1697352402.75,50.63,0.51,0.32,0,0.41
1697352402.85,50.63,0.51,0.32,0,0.41
1697352402.95,50.63,0.51,0.32,0,0.41
1697352403.05,50.63,0.51,0.32,0,0.41
1697352403.15,50.63,0.51,0.32,0,0.41
1697352403.25,50.63,0.51,0.32,0,0.41
1697352403.35,50.63,0.51,0.32,0,0.41
1697352403.45,50.63,0.51,0.32,0,0.41
1697352403.55,50.63,0.51,0.32,0,0.41
1697352403.65,49.66,0.49,0.32,0,0.41
1697352403.75,49.66,0.49,0.32,0,0.41
1697352403.85,49.66,0.49,0.32,0,0.41
1697352403.95,49.66,0.49,0.32,0,0.41
1697352404.05,49.66,0.49,0.32,0,0.41
1697352404.15,49.66,0.49,0.32,0,0.41
1697352404.25,49.66,0.49,0.32,0,0.41
1697352404.35,49.66,0.49,0.32,0,0.41
1697352404.45,50.63,0.46,0.32,0,0.41
1697352404.55,50.63,0.46,0.32,0,0.41
1697352404.65,50.63,0.46,0.32,0,0.41
1697352404.75,50.63,0.46,0.32,0,0.41
1697352404.85,50.63,0.46,0.32,0,0.41
1697352404.95,50.63,0.46,0.32,0,0.41
1697352405.05,50.63,0.46,0.32,0,0.41
1697352405.15,50.63,0.46,0.32,0,0.41
1697352405.25,50.63,0.46,0.32,0,0.41
1697352405.35,50.63,0.46,0.32,0,0.41
1697352405.45,51.12,0.48,0.32,0,0.41
1697352405.55,51.12,0.48,0.32,0,0.41
1697352405.65,51.12,0.48,0.32,0,0.41
1697352405.75,51.12,0.48,0.32,0,0.41
1697352405.85,51.12,0.48,0.32,0,0.41
