time,torque_command,torque_feedback,motor_speed,dc_bus_voltage,dc_bus_current,control_board_temperature,hot_spot_temperature,motor_temperature
1697352398.45,27.1,32,1226,282.9,15.9,37.5,34.3,39
1697352398.46,27.8,32.5,1142,282.9,15.9,37.5,34.3,39
1697352398.47,29.2,32.8,1127,283,15,37.5,34.3,39
1697352398.48,30.2,33.3,1115,282.8,15,37.5,34.3,39
1697352398.49,31.6,34,1135,282.7,16,37.5,34.3,39
1697352398.5,33.2,34.6,1149,282.4,16,37.5,34.3,39
1697352398.51,34.6,35.3,1132,282.3,17.3,37.5,34.3,39
1697352398.52,36,36.4,1117,282.6,17.3,37.5,34.3,39
1697352398.53,37.5,37.3,1098,282.4,17.3,37.5,34.3,39
1697352398.54,39.1,38.2,1081,282.3,17.5,37.6,34.3,39
1697352398.55,40,39.6,1104,282.1,17.5,37.6,34.3,39
1697352398.56,40.2,40.5,1118,282,19.1,37.6,34.3,39.1
1697352398.57,39.5,41.2,1136,282.1,19.1,37.6,34.3,39.1
1697352398.58,38.6,41.6,1150,282.1,19.6,37.5,34.3,39.1
1697352398.59,37.1,41.8,1124,282.5,19.6,37.5,34.3,39.1
1697352398.6,37.1,41.8,1114,282.3,17.1,37.5,34.3,39.1
1697352398.61,33,40.5,1109,282.6,17.1,37.5,34.3,39.1
1697352398.62,30.3,39.5,1125,282.9,14.6,37.6,34.3,39.1
1697352398.63,27.2,38.5,1156,283,14.6,37.6,34.3,39.1
1697352398.64,23.8,35.3,1207,283.5,10.2,37.6,34.3,39.1
1697352398.65,20.3,33,1220,283.7,10.2,37.6,34.3,39.1
1697352398.66,16.9,31.3,1217,284.1,5.5,37.6,34.3,39.1
1697352398.67,13.8,26.4,1140,284.6,5.5,37.6,34.3,38.7
1697352398.68,10.3,24.4,1115,284.7,1.5,37.6,34.3,38.7
1697352398.69,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.7,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.71,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.72,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.73,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.74,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.75,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.76,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.77,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.78,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.79,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.8,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.81,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.82,6.5,18.8,1045,285,1.5,37.6,34.3,38.7
1697352398.83,-0.9,-8.2,1142,285.7,-2.9,37.5,34.3,38.7
1697352398.84,-0.9,-8.1,1158,285.7,-2.9,37.5,34.3,38.7
1697352398.85,-0.9,-8,1144,285.7,-2.5,37.5,34.3,38.7
1697352398.86,0,-7.6,1099,285.5,-2.5,37.5,34.3,38.7
1697352398.87,0,-7.3,1091,285.4,-1.6,37.5,34.3,38.7
1697352398.88,3.7,-6,1057,285.3,-1.6,37.5,34.3,38.9
1697352398.89,8.4,-4.5,1051,285,1.9,37.4,34.3,38.9
1697352398.9,13.3,-2.2,1057,284.7,1.9,37.4,34.3,38.9
1697352398.91,17.9,0.6,1063,284.1,7.9,37.4,34.3,38.9
1697352398.92,22.1,4.9,1106,283.7,7.9,37.4,34.3,38.9
1697352398.93,26.1,7.3,1136,283.3,7.9,37.4,34.3,38.9
1697352398.94,29.1,13.6,1173,282.8,14.2,37.4,34.3,38.9
1697352398.95,31.5,17.5,1168,282.5,18.4,37.3,34.3,38.9
1697352398.96,33.2,21.1,1098,282.5,18.4,37.3,34.3,38.9
1697352398.97,34.4,25.7,999,282.6,18.4,37.4,34.3,38.9
1697352398.98,34.4,27.7,970,282.6,18.2,37.4,34.3,39.2
1697352398.99,36,32.3,959,282.3,18.2,37.4,34.3,39.2
1697352399,36.8,34.8,1006,282.1,19,37.5,34.3,39.2
1697352399.01,37.2,37,1053,282.1,19,37.5,34.3,39.2
1697352399.02,37.3,38.9,1060,282,21.2,37.5,34.3,39.2
1697352399.03,37.1,40.8,1048,282.2,21.2,37.5,34.3,39.2
1697352399.04,36.6,41.9,1023,282.4,19.8,37.5,34.3,39.2
1697352399.05,36,42.7,984,282.4,19.8,37.5,34.3,39.2
1697352399.06,35.4,43,968,282.6,17,37.4,34.3,39.2
1697352399.07,35.1,43.3,990,282.6,17,37.4,34.3,39.2
1697352399.08,34.9,43.3,1003,282.6,16.7,37.4,34.3,39.2
1697352399.09,34.6,43,1031,282.7,16.7,37.4,34.3,39.4
1697352399.1,34.6,42.8,1046,282.6,15.8,37.4,34.3,39.4
1697352399.11,34.7,42.3,1015,282.8,15.8,37.4,34.3,39.4
1697352399.12,34.9,41.9,989,282.8,14.3,37.4,34.3,39.4
1697352399.13,35,41.3,970,283,14.3,37.4,34.3,39.4
1697352399.14,35.2,40.9,959,283,13.3,37.5,34.3,39.4
1697352399.15,35.3,40.3,987,282.9,13.3,37.5,34.3,39.4
1697352399.16,35.4,39.9,1025,282.9,14,37.5,34.3,39.4
1697352399.17,35.4,39.6,1035,282.8,14,37.5,34.3,39.4
1697352399.18,35.4,39.1,1031,282.9,14,37.5,34.3,39.4
1697352399.19,35.4,38.8,1022,283,13.3,37.5,34.3,39.1
1697352399.2,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.21,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.22,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.23,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.24,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.25,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.26,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.27,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.28,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.29,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.3,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.31,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.32,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.33,35.2,38.2,974,283.1,13.3,37.5,34.3,39.1
1697352399.34,32.2,31.9,1027,283.2,10.8,37.4,34.3,39.1
1697352399.35,32.4,31.7,973,283.3,9.6,37.4,34.3,39.1
1697352399.36,32.9,31.6,951,283.4,9.6,37.4,34.3,39.1
1697352399.37,33.2,31.6,943,283.4,10,37.4,34.3,39.1
1697352399.38,33.4,31.7,953,283.2,10,37.4,34.3,39.1
1697352399.39,33.9,31.9,992,283.1,10,37.4,34.3,39.1
1697352399.4,33.9,32.1,1003,283.1,11.5,37.3,34.3,39.1
1697352399.41,35.1,32.6,1006,283,11.5,37.3,34.3,39.1
1697352399.42,35.7,33.1,1009,283,12.4,37.3,34.3,39.1
1697352399.43,36.5,33.4,1002,283,12.4,37.3,34.3,39.1
1697352399.44,37.1,34.3,973,283,13,37.4,34.3,39.1
1697352399.45,37.5,35,971,283,13,37.4,34.3,39.1
1697352399.46,38,35.6,958,282.7,13.1,37.4,34.3,39.1
1697352399.47,38.7,36.4,944,283,13.1,37.4,34.3,39.1
1697352399.48,39.2,36.8,951,282.7,13.6,37.4,34.3,39.1
1697352399.49,39.4,37.7,958,282.7,13.6,37.4,34.3,39.1
1697352399.5,39.8,38.1,959,282.7,14.5,37.4,34.3,39.1
1697352399.51,39.9,39,982,282.6,14.5,37.4,34.3,39
1697352399.52,40,39.3,990,282.7,15.2,37.4,34.3,39
1697352399.53,39.8,39.8,984,282.5,15.2,37.4,34.3,39
1697352399.54,39.5,40.1,981,282.7,14.6,37.4,34.3,39
1697352399.55,39.4,40.4,976,282.8,14.6,37.4,34.3,39
1697352399.56,39.2,40.5,945,282.7,13.7,37.5,34.3,39
1697352399.57,39.1,40.6,948,282.8,13.7,37.5,34.3,39
1697352399.58,38.9,40.6,961,282.6,13.7,37.5,34.3,39
1697352399.59,38.7,40.5,973,282.8,13.7,37.5,34.3,39
1697352399.6,38.7,40.4,992,282.7,13.7,37.5,34.3,39
1697352399.61,38.8,40.3,1002,282.8,13.9,37.5,34.3,39.2
1697352399.62,38.8,40.2,993,282.7,13.9,37.5,34.3,39.2
1697352399.63,38.9,40.1,988,282.9,13.9,37.5,34.3,39.2
