time,bse,apps1,apps2,brake_micro,accelerator_micro,steer_angle,front_break_pressure,rear_break_pressure,front_left_wheel_speed,front_right_wheel_speed,rear_left_wheel_speed,rear_right_wheel_speed,front_left_suspension_travel,front_right_suspension_travel,rear_left_suspension_travel,rear_right_suspension_travel,front_left_tire_temp_1,front_left_tire_temp_2,front_left_tire_temp_3,front_left_tire_temp_4,front_right_tire_temp_1,front_right_tire_temp_2,front_right_tire_temp_3,front_right_tire_temp_4,rear_left_tire_temp_1,rear_left_tire_temp_2,rear_left_tire_temp_3,rear_left_tire_temp_4,rear_right_tire_temp_1,rear_right_tire_temp_2,rear_right_tire_temp_3,rear_right_tire_temp_4
1697354815.15,0.05,0.14,0.14,0,0,70,0,0,0,266,276.1,251.5,47.7,40.7,44.3,41.5,37,31.2,36.4,39.2,30.8,32.8,34.6,34,30,30,30,30,30,30,30,30
1697354815.25,0.05,0.14,0.14,0,0,66,1.2,1.2,0,265.9,276.1,251.5,49,41,44.3,41.5,37,31.2,36.4,39.2,30.8,32.8,34.6,34,30,30,30,30,30,30,30,30
1697354815.35,0.06,0.15,0.15,0,0,66,1.2,1.2,0,255.7,278.2,241.6,48.9,40.4,44.4,41.5,36.8,31.2,30.6,37.2,30.2,31.2,34,32.4,30,30,30,30,30,30,30,30
1697354815.45,0.05,0.16,0.15,0,0,66,0,0,0,255.1,278.2,241.6,48.6,41.3,44.4,41.5,36.8,31.2,30.6,37.2,30.2,31.2,34,32.4,30,30,30,30,30,30,30,30
1697354815.55,0.05,0.16,0.15,0,0,66,0,0,0,255.1,278.2,241.6,48.6,41.3,44.4,41.5,36.8,31.2,30.6,37.2,30.2,31.2,34,32.4,30,30,30,30,30,30,30,30
1697354815.65,0.04,0.21,0.21,0,0,67,0,0,0,245.9,278.2,241.6,47.6,41.6,44.4,41.5,36.2,30.2,30,35.2,30,30.4,33.6,32.6,30,30,30,30,30,30,30,30
1697354815.75,0.05,0.24,0.24,0,0,67,0.9,0.9,0,387.3,261.1,233,48,41.5,44.3,41.5,36.2,30.8,30,35.4,30,30.2,33.4,32.6,30,30,30,30,30,30,30,30
1697354815.85,0.04,0.26,0.26,0,0,67,0.6,0.6,0,240.3,261.1,233,49.6,42.4,44.3,41.5,36.2,30.8,30,35.4,30,30.2,33.4,32.6,30,30,30,30,30,30,30,30
1697354815.95,0.04,0.26,0.26,0,0,67,0.6,0.6,0,240.3,261.1,233,49.6,42.4,44.3,41.5,36.2,30.8,30,35.4,30,30.2,33.4,32.6,30,30,30,30,30,30,30,30
1697354816.05,0.04,0.26,0.26,0,0,67,0.6,0.6,0,240.3,261.1,233,49.6,42.4,44.3,41.5,36.2,30.8,30,35.4,30,30.2,33.4,32.6,30,30,30,30,30,30,30,30
1697354816.15,0.05,0.32,0.32,0,1,67,0,0,0,236.5,738.9,224.3,47.9,42.7,44.4,41.6,37.2,31.4,30.4,35.8,30,30,33.6,32.8,30,30,30,30,30,30,30,30
1697354816.25,0.05,0.34,0.34,0,1,67,0,0,0,238.2,738.9,224.3,48.2,42.6,44.4,41.6,38.2,32.6,31,36.6,30,30,33.4,33,30,30,30,30,30,30,30,30
1697354816.35,0.05,0.34,0.34,0,1,67,0.3,0.3,0,239,782.4,225,48.9,41.8,44.2,41.6,38.2,32.6,31,36.6,30,30,33.4,33,30,30,30,30,30,30,30,30
1697354816.45,0.05,0.34,0.34,0,1,67,0.3,0.3,0,239,782.4,225,48.9,41.8,44.2,41.6,38.2,32.6,31,36.6,30,30,33.4,33,30,30,30,30,30,30,30,30
1697354816.55,0.05,0.34,0.34,0,1,67,0.3,0.3,0,239,782.4,225,48.9,41.8,44.2,41.6,38.2,32.6,31,36.6,30,30,33.4,33,30,30,30,30,30,30,30,30
1697354816.65,0.05,0.34,0.34,0,1,67,0,0,0,238.1,782.4,225,48.6,42.2,44.2,41.6,39.6,35.6,37.4,37.4,30,30,33,32.4,30,30,30,30,30,30,30,30
1697354816.75,0.05,0.34,0.34,0,1,67,0,0,0,238.2,3169.9,227.7,48.4,42.7,44.2,41.6,38,33,34,33.4,33,30,34.2,33,30,30,30,30,30,30,30,30
1697354816.85,0.06,0.34,0.34,0,1,67,0,0,0,236.9,3169.9,227.7,47.7,42.4,44.2,41.6,38,33,34,33.4,33,30,34.2,33,30,30,30,30,30,30,30,30
1697354816.95,0.06,0.34,0.34,0,1,67,0,0,0,236.9,3169.9,227.7,47.7,42.4,44.2,41.6,38,33,34,33.4,33,30,34.2,33,30,30,30,30,30,30,30,30
1697354817.05,0.06,0.34,0.34,0,1,67,0,0,0,236.9,3169.9,227.7,47.7,42.4,44.2,41.6,38,33,34,33.4,33,30,34.2,33,30,30,30,30,30,30,30,30
1697354817.15,0.06,0.34,0.34,0,1,67,0,0,0,236.9,3169.9,227.7,47.7,42.4,44.2,41.6,38,33,34,33.4,33,30,34.2,33,30,30,30,30,30,30,30,30
1697354817.25,0.05,0.33,0.34,0,1,67,0,0,0,235.8,283.6,227,47.5,43,44,41.6,35.4,30,30,33.6,32.8,30,33.6,33.4,30,30,30,30,30,30,30,30
1697354817.35,0.04,0.31,0.32,0,1,74,1.2,1.2,0,225,283.6,227,47.1,44.8,44,41.6,35.2,30,30,35.2,30,30.2,34,32.6,30,30,30,30,30,30,30,30
1697354817.45,0.05,0.31,0.31,0,1,97,1.5,1.5,0,221.1,804.2,218.7,44.7,44.3,43.6,41.8,35.2,30,30,35.2,30,30.2,34,32.6,30,30,30,30,30,30,30,30
1697354817.55,0.05,0.31,0.31,0,1,97,1.5,1.5,0,221.1,804.2,218.7,44.7,44.3,43.6,41.8,35.2,30,30,35.2,30,30.2,34,32.6,30,30,30,30,30,30,30,30
