time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697354815.15,-0.22,0.99,0.8,-4.5,-0.3,84.6,0.76,0.02,-0.01,-0.65
1697354815.16,-0.26,1.03,0.85,-0.2,-1.1,83,0.76,0.02,-0.01,-0.65
1697354815.17,-0.26,1.03,0.85,-0.2,-1.1,83,0.77,0.02,-0.01,-0.64
1697354815.18,-0.26,0.95,0.88,1.2,-0.7,82.1,0.77,0.02,-0.01,-0.63
1697354815.19,-0.22,0.9,1.09,1.3,0,81.3,0.78,0.02,-0.01,-0.63
1697354815.2,-0.24,1.01,1.19,0.8,2,81.2,0.78,0.02,-0.01,-0.62
1697354815.21,-0.24,1.01,1.19,0.8,2,81.2,0.79,0.02,-0.01,-0.62
1697354815.22,-0.04,1.02,0.81,0.5,2.6,82.1,0.79,0.02,-0.01,-0.61
1697354815.23,-0.04,1.02,0.81,0.5,2.6,82.1,0.8,0.02,-0.01,-0.61
1697354815.24,-0.1,1.06,0.98,1.2,2.4,82.7,0.8,0.02,-0.01,-0.6
1697354815.25,-0.25,0.96,0.83,1.6,2.2,83.5,0.8,0.02,-0.01,-0.59
1697354815.26,-0.31,0.84,1.15,1.2,2.2,84.6,0.81,0.02,-0.01,-0.59
1697354815.27,-0.4,0.92,1.21,0.2,2.2,85.5,0.81,0.02,-0.01,-0.58
1697354815.28,-0.32,0.86,0.73,-1.5,2.5,86.4,0.82,0.02,-0.01,-0.57
1697354815.29,-0.29,0.95,0.85,-2.2,2.9,86.6,0.82,0.02,-0.01,-0.57
1697354815.3,-0.29,0.86,0.93,-2,3.2,86.5,0.83,0.02,-0.01,-0.56
1697354815.31,-0.35,0.8,1.15,-1.4,3.2,85.8,0.83,0.02,-0.01,-0.56
1697354815.32,-0.3,0.82,1.04,-1,3.3,84.6,0.83,0.02,-0.01,-0.55
1697354815.33,-0.3,0.86,1.3,-1.1,3.5,83.3,0.84,0.02,-0.01,-0.54
1697354815.34,-0.26,0.84,1.1,-1.1,3.8,81.9,0.84,0.02,-0.01,-0.54
1697354815.35,-0.18,0.88,0.93,-1.3,3.9,81,0.85,0.02,-0.01,-0.53
1697354815.36,-0.22,0.83,1.2,-2,3.5,80.2,0.85,0.02,-0.01,-0.52
1697354815.37,-0.13,0.89,1.04,-2.3,3.2,79.6,0.85,0.02,-0.01,-0.52
1697354815.38,-0.16,0.85,1.13,-2.1,3,79.6,0.86,0.02,-0.01,-0.51
1697354815.39,-0.23,0.84,1.24,-1.4,2.9,78.8,0.86,0.02,-0.01,-0.51
1697354815.4,-0.09,0.79,0.97,-1,2.4,78.8,0.86,0.02,-0.01,-0.51
1697354815.41,-0.1,0.76,0.98,-0.7,2.3,78.5,0.87,0.02,-0.01,-0.49
1697354815.42,-0.17,0.79,1.01,-0.7,2.3,78.5,0.87,0.02,-0.01,-0.49
1697354815.43,-0.18,0.83,0.92,-1.1,2.2,78.9,0.87,0.02,-0.01,-0.49
1697354815.44,-0.25,0.84,0.79,-1.2,2.3,79.4,0.88,0.02,-0.01,-0.48
1697354815.45,-0.15,0.86,0.64,-0.8,2.3,80.2,0.88,0.02,-0.01,-0.48
1697354815.46,-0.28,0.81,1.12,-0.2,2,80.8,0.88,0.02,-0.01,-0.47
1697354815.47,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.48,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.49,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.5,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.51,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.52,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.53,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.54,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.55,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.56,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.57,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.58,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.59,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.6,-0.23,0.81,0.84,-0.6,1.7,81.3,0.89,0.02,-0.01,-0.46
1697354815.61,-0.21,0.79,0.98,-1.4,0.7,78.2,0.93,0.02,-0.01,-0.37
1697354815.62,-0.23,0.84,0.88,-2.1,0.8,78.5,0.93,0.02,-0.01,-0.37
1697354815.63,-0.23,0.84,0.88,-2.8,0.8,79.1,0.93,0.01,-0.01,-0.36
1697354815.64,-0.11,0.9,0.74,-2.7,0.8,79.6,0.94,0.01,-0.01,-0.35
1697354815.65,-0.11,0.9,0.74,-1.1,1,79.6,0.94,0.01,-0.01,-0.35
1697354815.66,-0.14,0.8,0.87,1,0.8,79.4,0.94,0.01,-0.01,-0.34
1697354815.67,-0.23,0.81,0.95,2.5,0.2,79.1,0.94,0.01,-0.01,-0.33
1697354815.68,-0.15,0.74,0.78,1.6,-0.1,79,0.95,0.01,-0.01,-0.33
1697354815.69,-0.17,0.73,1.01,0.4,-0.1,78.5,0.95,0.01,-0.01,-0.32
1697354815.7,-0.17,0.74,1.01,-0.5,-0.2,78.1,0.95,0.01,-0.01,-0.31
1697354815.71,-0.12,0.76,1.01,-1.4,0.2,77.3,0.95,0.01,-0.01,-0.31
1697354815.72,-0.07,0.79,1.02,-1.5,0.8,76.9,0.95,0.01,-0.01,-0.3
1697354815.73,-0.22,0.78,1.03,-0.8,1.5,76.4,0.96,0.01,-0.01,-0.29
1697354815.74,-0.1,0.82,0.75,0.1,2.1,76.2,0.96,0.01,-0.01,-0.29
