time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353635.15,-0.09,0.25,0.98,-0.4,4.1,43.2,1,0.08,0.01,-0.04
1697353635.16,-0.09,0.25,0.98,-0.5,3.4,43,1,0.08,0.01,-0.03
1697353635.17,-0.07,0.18,1.07,-0.3,2.7,43.1,1,0.08,0.01,-0.03
1697353635.18,-0.11,0.22,0.86,-0.2,2.1,43,1,0.08,0.01,-0.03
1697353635.19,-0.12,0.2,1.16,-0.1,1.8,43,1,0.08,0.01,-0.02
1697353635.2,-0.09,0.19,0.83,-0.4,1.5,43.1,1,0.08,0.01,-0.02
1697353635.21,-0.11,0.2,1.11,-0.9,1.5,43,1,0.08,0.01,-0.01
1697353635.22,-0.07,0.21,0.96,-0.7,1.5,42.9,1,0.08,0.01,-0.01
1697353635.23,-0.14,0.17,1.09,-0.9,1.5,42.8,1,0.08,0.01,-0.01
1697353635.24,-0.09,0.2,0.94,-0.4,1.4,42.6,1,0.08,0.01,-0
1697353635.25,-0.13,0.17,0.97,-0.1,1.3,42.5,1,0.08,0.01,0
1697353635.26,-0.1,0.17,1.03,-0.2,1.1,42.3,1,0.08,0.01,0
1697353635.27,-0.06,0.17,1,-0.3,1.2,42,1,0.08,0.01,0.01
1697353635.28,-0.02,0.19,0.99,-0.8,1,41.7,1,0.08,0.01,0.01
1697353635.29,0.16,0.13,1.11,-0.9,0.5,41.7,1,0.08,0.01,0.02
1697353635.3,0.33,0.25,0.86,-0.6,0,40.8,1,0.08,0.01,0.02
1697353635.31,0.24,0.15,1.24,-0.6,-0.6,40.4,1,0.08,0.01,0.02
1697353635.32,0.18,0.2,0.84,-0.1,-1.1,39.4,1,0.08,0.01,0.02
1697353635.33,-0.07,0.24,1.06,0,-1,38.8,1,0.08,0.01,0.03
1697353635.34,-0.22,0.31,0.9,0.1,-0.3,39.8,1,0.08,0.01,0.03
1697353635.35,-0.28,0.28,1.12,0.4,1,41.1,1,0.08,0.01,0.04
1697353635.36,-0.2,0.22,0.82,0,2.4,43,1,0.08,0.01,0.04
1697353635.37,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.38,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.39,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.4,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.41,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.42,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.43,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.44,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.45,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.46,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.47,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.48,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.49,-0.14,0.31,0.91,0.1,3.2,44.5,1,0.08,0.01,0.04
1697353635.5,-0.19,0.23,1.19,0.1,3.2,44.5,0.99,0.08,0,0.09
1697353635.51,-0.19,0.23,1.19,-1.3,0.7,40.3,0.99,0.08,0,0.09
1697353635.52,-0.17,0.18,0.91,-0.7,1.5,41.8,0.99,0.08,0,0.1
1697353635.53,-0.2,0.2,1.13,-0.5,2.5,43.1,0.99,0.08,0,0.1
1697353635.54,-0.07,0.11,1.09,0,2,45,0.99,0.08,0,0.11
1697353635.55,-0.07,0.11,0.96,0,2,45,0.99,0.08,0,0.11
1697353635.56,-0.07,0.11,0.96,0.6,1,44.9,0.99,0.08,0,0.11
1697353635.57,0.01,0.11,0.84,1.1,0.1,44.3,0.99,0.08,0,0.12
1697353635.58,0.01,0.11,0.84,1.4,-0.9,43.7,0.99,0.08,0,0.12
