time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697352317.25,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.26,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.27,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.28,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.29,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.3,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.31,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.32,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.33,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.34,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.35,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.36,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.37,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.38,0.02,1.04,1.13,-0.9,1.1,68.7,0.77,0.03,-0.02,-0.63
1697352317.39,-0.09,0.92,0.96,-4.5,5.9,89.8,1,0.02,-0.03,-0.01
1697352317.4,-0.02,0.92,1.07,-5.3,6.3,90.6,1,0.02,-0.03,-0.01
1697352317.41,-0.03,0.97,1.22,-2.9,6.4,90.7,1,0.02,-0.03,0
1697352317.42,0.08,1.08,0.53,0,6,91.9,1,0.02,-0.03,0.01
1697352317.43,0.08,1.08,0.53,0,6,91.9,1,0.02,-0.03,0.02
1697352317.44,0.17,0.93,0.74,3,5.5,92.9,1,0.02,-0.03,0.03
1697352317.45,-0.07,0.97,0.66,1.9,5.5,93.4,1,0.02,-0.03,0.03
1697352317.46,-0.11,0.78,0.57,0.9,6.8,93.7,1,0.02,-0.03,0.04
1697352317.47,-0.05,1.08,1.07,-0.2,7.3,92.9,1,0.02,-0.03,0.05
1697352317.48,-0.03,1.07,1.02,-0.7,8.3,92.7,1,0.02,-0.02,0.06
1697352317.49,-0.1,0.88,0.92,0.6,8.1,92,1,0.02,-0.02,0.07
1697352317.5,-0.17,1.2,0.79,0.6,8.1,92,1,0.02,-0.02,0.08
1697352317.51,-0.17,1.2,0.79,1.1,9,91.1,1,0.02,-0.02,0.08
1697352317.52,-0.19,1.04,1.02,2.1,10,90.6,1,0.02,-0.02,0.09
