time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697354613.55,49.66,0.49,0.32,0,0.41
1697354613.65,49.66,0.49,0.32,0,0.41
1697354613.75,49.66,0.49,0.32,0,0.41
1697354613.85,49.66,0.49,0.32,0,0.41
1697354613.95,49.66,0.49,0.32,0,0.41
1697354614.05,49.66,0.49,0.32,0,0.41
1697354614.15,49.66,0.49,0.32,0,0.41
1697354614.25,49.66,0.49,0.32,0,0.41
1697354614.35,49.66,0.49,0.32,0,0.41
1697354614.45,49.66,0.49,0.32,0,0.41
1697354614.55,49.66,0.49,0.32,0,0.41
1697354614.65,49.66,0.49,0.32,0,0.41
1697354614.75,49.66,0.49,0.32,0,0.41
1697354614.85,49.66,0.49,0.32,0,0.41
1697354614.95,50.15,0.45,0.32,0,0.41
1697354615.05,50.15,0.45,0.32,0,0.41
1697354615.15,50.15,0.45,0.32,0,0.41
1697354615.25,50.15,0.45,0.32,0,0.41
1697354615.35,50.15,0.45,0.32,0,0.41
1697354615.45,50.15,0.45,0.32,0,0.41
1697354615.55,50.63,0.47,0.32,0,0.41
1697354615.65,50.63,0.47,0.32,0,0.41
1697354615.75,50.63,0.47,0.32,0,0.41
1697354615.85,50.63,0.47,0.32,0,0.41
1697354615.95,50.63,0.47,0.32,0,0.41
1697354616.05,50.63,0.47,0.32,0,0.41
1697354616.15,50.63,0.47,0.32,0,0.41
1697354616.25,50.63,0.47,0.32,0,0.41
1697354616.35,50.63,0.47,0.32,0,0.41
1697354616.45,50.15,0.52,0.32,0,0.41
1697354616.55,50.15,0.52,0.32,0,0.41
1697354616.65,50.15,0.52,0.32,0,0.41
1697354616.75,50.15,0.52,0.32,0,0.41
1697354616.85,50.15,0.52,0.32,0,0.41
1697354616.95,50.15,0.52,0.32,0,0.41
1697354617.05,50.15,0.52,0.32,0,0.41
1697354617.15,50.15,0.52,0.32,0,0.41
1697354617.25,50.15,0.52,0.32,0,0.41
1697354617.35,50.15,0.52,0.32,0,0.41
1697354617.45,51.12,0.5,0.32,0,0.41
1697354617.55,51.12,0.5,0.32,0,0.41
1697354617.65,51.12,0.5,0.32,0,0.41
1697354617.75,51.12,0.5,0.32,0,0.41
1697354617.85,51.12,0.5,0.32,0,0.41
1697354617.95,51.12,0.5,0.32,0,0.41
1697354618.05,51.12,0.5,0.32,0,0.41
1697354618.15,51.12,0.5,0.32,0,0.41
1697354618.25,51.12,0.5,0.32,0,0.41
1697354618.35,51.12,0.5,0.32,0,0.41
1697354618.45,51.12,0.49,0.32,0,0.41
1697354618.55,51.12,0.49,0.32,0,0.41
1697354618.65,51.12,0.49,0.32,0,0.41
1697354618.75,51.12,0.49,0.32,0,0.41
1697354618.85,51.12,0.49,0.32,0,0.41
1697354618.95,51.12,0.49,0.32,0,0.41
1697354619.05,51.12,0.49,0.32,0,0.41
1697354619.15,51.12,0.49,0.32,0,0.41
1697354619.25,51.12,0.49,0.32,0,0.41
1697354619.35,51.12,0.49,0.32,0,0.41
