time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697353720.15,48.69,0.5,0.32,0,0.41
1697353720.25,48.69,0.5,0.32,0,0.41
1697353720.35,48.69,0.5,0.32,0,0.41
1697353720.45,48.69,0.5,0.32,0,0.41
1697353720.55,48.69,0.5,0.32,0,0.41
1697353720.65,48.69,0.5,0.32,0,0.41
1697353720.75,48.2,0.48,0.32,0,0.41
1697353720.85,48.2,0.48,0.32,0,0.41
1697353720.95,48.2,0.48,0.32,0,0.41
1697353721.05,48.2,0.48,0.32,0,0.41
1697353721.15,48.2,0.48,0.32,0,0.41
1697353721.25,48.2,0.48,0.32,0,0.41
1697353721.35,48.2,0.48,0.32,0,0.41
1697353721.45,48.69,0.5,0.32,0,0.41
1697353721.55,48.69,0.5,0.32,0,0.41
1697353721.65,48.69,0.5,0.32,0,0.41
1697353721.75,48.69,0.5,0.32,0,0.41
1697353721.85,48.69,0.5,0.32,0,0.41
1697353721.95,48.69,0.5,0.32,0,0.41
1697353722.05,48.69,0.5,0.32,0,0.41
1697353722.15,48.69,0.5,0.32,0,0.41
1697353722.25,48.69,0.5,0.32,0,0.41
1697353722.35,48.69,0.5,0.32,0,0.41
1697353722.45,48.69,0.52,0.32,0,0.41
1697353722.55,48.69,0.52,0.32,0,0.41
1697353722.65,48.69,0.52,0.32,0,0.41
1697353722.75,48.69,0.52,0.32,0,0.41
1697353722.85,48.69,0.52,0.32,0,0.41
1697353722.95,48.69,0.52,0.32,0,0.41
1697353723.05,48.69,0.52,0.32,0,0.41
1697353723.15,48.69,0.52,0.32,0,0.41
1697353723.25,48.69,0.52,0.32,0,0.41
1697353723.35,48.69,0.52,0.32,0,0.41
1697353723.45,48.2,0.51,0.32,0,0.41
1697353723.55,48.2,0.51,0.32,0,0.41
1697353723.65,48.2,0.51,0.32,0,0.41
1697353723.75,48.2,0.51,0.32,0,0.41
1697353723.85,48.2,0.51,0.32,0,0.41
1697353723.95,48.2,0.51,0.32,0,0.41
1697353724.05,48.2,0.51,0.32,0,0.41
1697353724.15,48.2,0.51,0.32,0,0.41
1697353724.25,48.2,0.51,0.32,0,0.41
