time,torque_command,torque_feedback,motor_speed,dc_bus_voltage,dc_bus_current,control_board_temperature,hot_spot_temperature,motor_temperature
1697353482.45,-0.9,-0.9,616,275.9,-0.2,39.5,37.1,42.4
1697353482.46,-0.9,-0.9,616,275.9,-0.2,39.5,37.1,42.4
1697353482.47,-0.9,-0.9,616,275.9,-0.2,39.5,37.1,42.4
1697353482.48,-0.9,-0.9,616,275.9,-0.2,39.5,37.1,42.4
1697353482.49,-0.9,-0.9,616,275.9,-0.2,39.5,37.1,42.4
1697353482.5,-0.9,-0.9,616,275.9,-0.2,39.5,37.1,42.4
1697353482.51,-0.9,-0.9,616,275.9,-0.2,39.5,37.1,42.4
1697353482.52,-0.9,-0.9,590,276,-0.2,39.5,37.1,42.4
1697353482.53,-0.9,-0.9,584,276,-0.2,39.5,37.1,42.4
1697353482.54,-0.9,-1,576,275.8,-0.2,39.5,37.1,42.4
1697353482.55,-0.9,-1,569,275.7,-0.2,39.5,37.1,42.4
1697353482.56,-0.9,-0.9,574,276,-0.1,39.5,37.1,42.4
1697353482.57,-0.9,-0.9,576,275.8,-0.1,39.5,37.1,42.3
1697353482.58,-0.9,-0.9,572,276,-0.1,39.7,37.1,42.3
1697353482.59,-0.9,-1,565,276,-0.2,39.7,37.1,42.3
1697353482.6,-0.9,-1,563,276,-0.2,39.7,37.1,42.3
1697353482.61,-0.9,-1,567,275.8,-0.2,39.7,37.1,42.3
1697353482.62,-0.9,-0.9,568,276,-0.2,39.7,37.1,42.3
1697353482.63,-0.9,-0.9,569,276,-0.2,39.7,37.1,42.3
1697353482.64,-0.9,-0.9,561,275.9,-0.2,39.7,37.1,42.3
1697353482.65,-0.9,-1,556,276,-0.2,39.7,37.1,42.3
1697353482.66,-0.9,-0.9,552,276,-0.2,39.7,37.1,42.3
1697353482.67,-0.9,-1,556,275.8,-0.2,39.7,37.1,42.7
1697353482.68,-0.9,-0.9,559,275.9,-0.2,39.7,37.1,42.7
1697353482.69,-0.9,-1,551,276,-0.1,39.7,37.1,42.7
1697353482.7,-0.9,-1,546,276,-0.1,39.7,37.1,42.7
1697353482.71,-0.9,-1,545,275.9,-0.1,39.6,37.1,42.7
1697353482.72,-0.9,-0.9,549,275.8,-0.1,39.6,37.1,42.7
1697353482.73,-0.9,-0.9,550,275.9,-0.1,39.7,37.1,42.7
1697353482.74,-0.9,-1,549,276,-0.1,39.7,37.1,42.7
1697353482.75,-0.9,-0.9,544,275.8,-0.2,39.6,37.1,42.7
1697353482.76,-0.9,-1,532,275.9,-0.2,39.6,37.1,42.7
1697353482.77,-0.9,-1,531,276,-0.2,39.6,37.1,42.7
1697353482.78,-0.9,-1,536,275.9,-0.2,39.6,37.1,42.9
1697353482.79,-0.9,-0.9,534,275.9,-0.1,39.5,37.1,42.9
1697353482.8,-0.9,-1,527,276,-0.1,39.5,37.1,42.9
1697353482.81,-0.9,-1,522,276,-0.1,39.6,37.1,42.9
1697353482.82,-0.9,-1,520,276,-0.1,39.6,37.1,42.9
1697353482.83,-0.9,-1,524,276,-0.1,39.6,37.1,42.9
1697353482.84,-0.9,-0.9,524,276,-0.1,39.6,37.1,42.9
1697353482.85,-0.9,-0.9,524,275.9,-0.1,39.6,37.1,42.9
1697353482.86,-0.9,-1,519,275.9,-0.1,39.6,37.1,42.9
1697353482.87,-0.9,-1,516,275.9,-0.1,39.6,37.1,42.9
1697353482.88,-0.9,-1,517,275.9,-0.1,39.6,37.1,42.3
1697353482.89,-0.9,-1,518,275.9,-0.1,39.6,37.1,42.3
1697353482.9,-0.9,-1,518,275.9,-0.1,39.6,37.1,42.3
1697353482.91,-0.9,-1,518,275.9,-0.1,39.6,37.1,42.3
1697353482.92,-0.9,-1,518,275.9,-0.1,39.6,37.1,42.3
1697353482.93,-0.9,-1,518,275.9,-0.1,39.6,37.1,42.3
1697353482.94,-0.9,-1,518,275.9,-0.1,39.6,37.1,42.3
