time,torque_command,torque_feedback,motor_speed,dc_bus_voltage,dc_bus_current,control_board_temperature,hot_spot_temperature,motor_temperature
1697352690.75,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.76,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.77,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.78,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.79,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.8,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.81,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.82,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.83,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.84,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.85,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.86,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.87,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.88,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.89,39.1,43.1,942,280,16.6,38.9,35.1,41.4
1697352690.9,54.2,61.2,843,279.3,19.9,38.7,35.1,41.4
1697352690.91,49.6,60.6,835,279.9,19.9,38.7,35.1,41.5
1697352690.92,44.6,58.9,803,280.2,19.9,38.7,35.1,41.5
1697352690.93,38.1,55.4,754,280.5,13.8,38.7,35.1,41.5
1697352690.94,31.6,51.9,735,281,7.3,38.8,35.1,41.5
1697352690.95,25.1,47.6,729,281.4,7.3,38.8,35.1,41.5
1697352690.96,17.9,42.6,730,281.8,1.8,38.8,35.1,41.5
1697352690.97,11.2,35.4,727,282.4,1.8,38.8,35.1,41.5
1697352690.98,4.5,27.4,715,282.6,1.8,38.8,35.1,41.5
1697352690.99,0,21.3,696,282.9,0,38.8,35.1,41.5
1697352691,0,15.8,658,283,0,38.8,35.1,41.5
1697352691.01,-0.9,10.8,613,283,0.3,38.8,35.1,41.2
1697352691.02,-0.9,5,556,283,0.3,38.8,35.1,41.2
1697352691.03,-0.9,1.4,527,283.1,0.1,38.7,35.1,41.2
1697352691.04,-0.9,-1.6,532,282.9,0.1,38.7,35.1,41.2
1697352691.05,-0.9,-4.9,626,283.2,-1.1,38.7,35.1,41.2
1697352691.06,-0.9,-6.9,745,283.2,-1.1,38.7,35.1,41.2
1697352691.07,-0.9,-8,828,283.3,-3,38.7,35.1,41.2
1697352691.08,-0.9,-9.9,1014,283.3,-3,38.7,35.1,41.2
1697352691.09,-0.9,-10.4,1045,283.5,-3.8,38.7,35.1,41.2
1697352691.1,-0.9,-11.3,1018,283.4,-3.8,38.7,35.1,41.2
1697352691.11,-0.9,-11.5,998,283.3,-3.3,38.8,35.1,41.2
1697352691.12,-0.9,-11.6,947,283.3,-3.3,38.8,35.1,41
1697352691.13,-0.9,-11.5,902,283.2,-2.6,38.8,35.1,41
1697352691.14,-0.9,-11.1,863,283.1,-2.6,38.8,35.1,41
1697352691.15,-0.9,-10.8,831,283.1,-1.9,38.8,35.1,41
1697352691.16,-0.9,-10.2,784,283,-1.9,38.8,35.1,41
1697352691.17,-0.9,-9.6,761,283.1,-1.9,38.8,35.1,41
1697352691.18,-0.9,-9.1,747,283,-1.4,38.8,35.1,41
1697352691.19,-0.9,-8.3,723,282.9,-1.4,38.8,35.1,41
1697352691.2,-0.9,-7.7,700,282.9,-1,38.8,35.1,41
1697352691.21,-0.9,-7.1,679,282.9,-1,38.8,35.1,41
1697352691.22,-0.9,-6.9,673,282.9,-0.7,38.8,35.1,41.6
1697352691.23,-0.9,-5.7,651,282.7,-0.7,38.8,35.1,41.6
1697352691.24,-0.9,-5.2,633,282.7,-0.5,38.8,35.1,41.6
1697352691.25,-0.9,-4.5,617,282.9,-0.5,38.8,35.1,41.6
1697352691.26,-0.9,-4,619,282.8,-0.3,38.8,35.1,41.6
1697352691.27,-0.9,-3.6,631,282.8,-0.3,38.8,35.1,41.6
1697352691.28,-0.9,-3.3,648,282.8,-0.2,38.9,35.1,41.6
1697352691.29,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.3,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.31,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.32,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.33,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.34,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.35,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.36,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.37,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.38,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.39,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.4,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.41,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.42,-0.9,-2.8,702,282.9,-0.2,38.9,35.1,41.6
1697352691.43,-0.9,-0.4,743,282.9,0,39,35.1,40.8
1697352691.44,-0.9,-0.4,719,282.7,0,39,35.1,40.8
1697352691.45,-0.9,-0.4,701,282.7,-0.1,39,35.1,40.8
1697352691.46,-0.9,-0.5,697,282.7,-0.1,39,35.1,40.8
1697352691.47,-0.9,-0.5,692,282.8,-0.1,39,35.1,40.8
1697352691.48,-0.9,-0.5,672,282.9,-0.1,39,35.1,40.8
1697352691.49,-0.9,-0.5,662,282.8,-0.1,38.8,35.1,40.8
1697352691.5,-0.9,-0.6,651,282.7,-0.1,38.8,35.1,40.8
1697352691.51,-0.9,-0.6,650,282.7,-0.1,38.8,35.1,40.8
1697352691.52,-0.9,-0.6,641,282.8,-0.1,38.8,35.1,40.8
1697352691.53,-0.9,-0.7,629,282.8,-0.1,38.8,35.1,40.8
1697352691.54,-0.9,-0.7,614,282.9,-0.1,38.8,35,41.2
1697352691.55,-0.9,-0.7,607,282.7,-0.1,38.8,35,41.2
1697352691.56,-0.9,-0.8,601,282.8,-0.1,38.8,35,41.2
1697352691.57,-0.9,-0.8,586,282.9,-0.1,38.8,35,41.2
1697352691.58,-0.9,-0.8,577,282.8,-0.2,38.8,35,41.2
1697352691.59,-0.9,-0.8,574,282.9,-0.2,38.8,35,41.2
1697352691.6,-0.9,-0.9,589,282.7,-0.2,38.8,35,41.2
1697352691.61,-0.9,-0.9,617,282.8,-0.2,38.8,35,41.2
1697352691.62,-0.9,-0.9,654,282.8,-0.2,38.8,35,41.2
1697352691.63,-0.9,-0.9,700,282.8,-0.2,38.8,35,41.2
1697352691.64,-0.9,-0.9,712,282.8,-0.2,38.9,35,41.2
1697352691.65,-0.9,-0.9,756,282.9,-0.2,38.9,35,40.7
1697352691.66,-0.9,-0.9,756,282.8,-0.3,38.9,35,40.7
1697352691.67,-0.9,-0.9,743,282.8,-0.3,38.9,35,40.7
1697352691.68,-0.9,-1,731,282.9,-0.2,38.9,35,40.7
1697352691.69,-0.9,-0.9,727,283,-0.2,38.9,35,40.7
1697352691.7,-0.9,-0.9,722,282.9,-0.2,38.9,35,40.7
1697352691.71,-0.9,-1,692,282.9,-0.2,38.9,35,40.7
1697352691.72,-0.9,-1,686,282.8,-0.2,38.9,35,40.7
1697352691.73,-0.9,-1,670,283,-0.2,38.9,35,40.7
1697352691.74,-0.9,-1,670,282.8,-0.2,38.9,35,40.7
1697352691.75,-0.9,-1,642,282.7,-0.2,38.9,35,41.2
1697352691.76,-0.9,-1,630,282.9,-0.2,38.9,35,41.2
1697352691.77,-0.9,-1,615,282.8,-0.2,38.9,35,41.2
1697352691.78,-0.9,-1,608,282.9,-0.2,38.9,35,41.2
1697352691.79,-0.9,-1,600,283,-0.2,38.9,35,41.2
1697352691.8,-0.9,-1,585,282.8,-0.2,38.9,35,41.2
1697352691.81,-0.9,-1,571,282.9,-0.2,38.9,35,41.2
1697352691.82,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.83,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.84,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.85,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.86,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.87,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.88,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.89,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.9,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.91,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.92,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.93,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.94,-0.9,-1,569,283,-0.2,38.9,35,41.2
1697352691.95,-0.9,-0.9,650,282.9,-0.2,39,35,41.2
1697352691.96,-0.9,-0.9,635,282.9,-0.2,39,35,41.2
1697352691.97,-0.9,-0.9,630,282.9,-0.2,39,35,41.2
1697352691.98,-0.9,-0.9,620,283,-0.2,39,35,41.2
