time,can_rx_timeout,can_rx_timeout_code,vcu_status,vcu_error_code,rear_sensor_status,rear_sensor_error_code,bms_error_code,inverter_state,inverter_vsm_state,inverter_post_fault,inverter_run_fault
1697350706.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350707.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350708.95,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.05,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.15,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.25,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.35,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.45,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.55,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.65,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.75,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
1697350709.85,"Rear Box, ",192,0,0,3,0,0,4,9,0,0
