time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353075.05,-0.21,0.6,0.88,0.5,0.2,59.6,0.87,0.05,-0,-0.49
1697353075.06,-0.25,0.55,1.04,1,0.5,60.5,0.87,0.05,-0.01,-0.49
1697353075.07,-0.25,0.55,1.04,1,0.5,60.5,0.87,0.05,-0.01,-0.48
1697353075.08,-0.12,0.52,0.84,0.9,0.9,61.3,0.88,0.05,-0.01,-0.48
1697353075.09,-0.17,0.52,0.93,0.9,0.9,61.3,0.88,0.05,-0.01,-0.47
1697353075.1,-0.2,0.47,1.03,0,0.7,60.8,0.88,0.05,-0.01,-0.47
1697353075.11,-0.2,0.47,1.03,0,0.7,60.8,0.88,0.05,-0.01,-0.46
1697353075.12,-0.16,0.54,0.85,-0.2,0.9,59.7,0.89,0.05,-0.01,-0.46
1697353075.13,-0.24,0.51,1.08,0,1.3,59.4,0.89,0.05,-0.01,-0.45
1697353075.14,-0.19,0.56,0.93,0,1.4,58.9,0.89,0.05,-0.01,-0.45
1697353075.15,-0.29,0.57,0.96,-0.4,2.1,58.9,0.89,0.05,-0.01,-0.44
1697353075.16,-0.33,0.57,1.07,-0.4,2.7,59.1,0.9,0.05,-0.01,-0.44
1697353075.17,-0.26,0.59,0.91,-0.5,2.8,59.8,0.9,0.05,-0.01,-0.43
1697353075.18,-0.2,0.62,1.06,-0.3,2.7,60.7,0.9,0.05,-0.01,-0.43
1697353075.19,-0.24,0.56,1.07,-0.6,2.4,61.5,0.9,0.05,-0.01,-0.43
1697353075.2,-0.24,0.56,1.07,-0.6,2.4,61.5,0.91,0.05,-0.01,-0.42
1697353075.21,-0.18,0.47,0.95,-0.7,2.1,62.2,0.91,0.05,-0.01,-0.41
1697353075.22,-0.18,0.47,0.95,-1.5,1.4,62.8,0.91,0.05,-0.01,-0.41
1697353075.23,-0.14,0.44,0.97,-2.1,0.9,62.8,0.91,0.05,-0.01,-0.4
1697353075.24,-0.16,0.46,1.06,-2.3,0.6,62.6,0.92,0.05,-0.01,-0.4
1697353075.25,-0.16,0.47,0.99,-2.1,0.3,62.4,0.92,0.05,-0.01,-0.39
1697353075.26,-0.19,0.46,1.13,-1.6,0.5,62,0.92,0.05,-0.01,-0.39
1697353075.27,-0.17,0.5,0.98,-0.8,0.6,61.3,0.92,0.05,-0.01,-0.39
1697353075.28,-0.19,0.43,1.06,-0.3,0.8,60.4,0.92,0.05,-0.01,-0.38
1697353075.29,-0.26,0.42,1.15,-0.5,0.8,59.9,0.92,0.05,-0.01,-0.38
1697353075.3,-0.15,0.46,0.89,-0.5,0.7,59.5,0.93,0.05,-0.01,-0.37
1697353075.31,-0.17,0.45,1.12,-0.9,1,59.1,0.93,0.05,-0.01,-0.37
1697353075.32,-0.1,0.45,0.99,-1.5,0.8,59.1,0.93,0.05,-0.01,-0.36
1697353075.33,-0.15,0.46,0.97,-1.7,0.9,58.9,0.93,0.05,-0.01,-0.36
1697353075.34,-0.17,0.43,0.94,-1.8,0.8,59,0.93,0.05,-0.01,-0.35
1697353075.35,-0.18,0.46,0.98,-1.1,0.7,59,0.94,0.05,-0.01,-0.35
1697353075.36,-0.16,0.45,1.04,-0.5,0.4,58.9,0.94,0.05,-0.01,-0.34
1697353075.37,-0.16,0.37,0.95,-0.1,-0.1,59.1,0.94,0.05,-0.01,-0.34
1697353075.38,-0.18,0.35,0.9,0,-0.6,58.8,0.94,0.05,-0.01,-0.33
1697353075.39,-0.12,0.43,0.91,-0.9,-0.2,58.6,0.94,0.05,-0.01,-0.33
1697353075.4,-0.19,0.48,1.04,-1.9,-0.1,58.5,0.94,0.05,-0.01,-0.32
1697353075.41,-0.2,0.44,1.03,-1.9,-0.1,58.5,0.94,0.05,-0.01,-0.32
1697353075.42,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.43,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.44,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.45,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.46,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.47,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.48,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.49,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.5,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.51,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.52,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.53,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.54,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.55,-0.18,0.5,0.96,-0.2,0.1,58,0.95,0.05,-0.01,-0.31
1697353075.56,0.28,0.34,0.96,-3,-3.8,53.1,0.97,0.05,-0.02,-0.25
1697353075.57,0.01,0.57,1.09,-1.8,-3.6,53.3,0.97,0.05,-0.02,-0.25
1697353075.58,-0.18,0.37,0.9,0.6,-1.8,53.7,0.97,0.05,-0.02,-0.24
1697353075.59,-0.24,0.45,0.67,1.5,-0.1,54.9,0.97,0.05,-0.02,-0.24
1697353075.6,-0.25,0.5,1,3,1.3,56.7,0.97,0.05,-0.02,-0.23
1697353075.61,-0.29,0.42,0.93,2.3,3.1,58.3,0.97,0.05,-0.02,-0.23
1697353075.62,-0.23,0.45,1.04,1.5,3.5,59.5,0.97,0.05,-0.02,-0.23
1697353075.63,-0.17,0.41,0.97,0.6,3.1,60.4,0.98,0.05,-0.02,-0.21
1697353075.64,-0.16,0.5,1.14,0.8,2.7,60.6,0.98,0.05,-0.02,-0.21
1697353075.65,-0.12,0.43,1.08,1,2,60.4,0.98,0.05,-0.02,-0.2
1697353075.66,-0.06,0.42,0.87,1.1,1,59.8,0.98,0.05,-0.02,-0.2
1697353075.67,-0.1,0.35,1.16,0.6,0.2,58.8,0.98,0.05,-0.02,-0.19
1697353075.68,-0.08,0.36,0.88,-0.1,-0.3,57.8,0.98,0.05,-0.02,-0.19
1697353075.69,-0.1,0.38,0.77,-0.3,-0.4,56.8,0.98,0.05,-0.02,-0.18
1697353075.7,-0.13,0.42,1.17,-0.4,-0.8,55.7,0.98,0.05,-0.02,-0.18
1697353075.71,0.05,0.45,1.13,-0.4,-0.7,54.1,0.98,0.05,-0.02,-0.17
1697353075.72,0.03,0.42,1.13,-0.3,-0.8,53.3,0.98,0.05,-0.02,-0.17
1697353075.73,0.02,0.42,1.05,-0.3,-0.8,53.3,0.99,0.05,-0.02,-0.16
1697353075.74,-0.07,0.44,0.92,-0.3,-0.7,53,0.99,0.05,-0.02,-0.16
1697353075.75,-0.17,0.46,1.01,-0.7,-0.3,53.4,0.99,0.05,-0.02,-0.15
1697353075.76,-0.23,0.41,0.87,-1.5,1.5,56,0.99,0.05,-0.02,-0.15
1697353075.77,-0.22,0.34,0.9,-1.2,2.5,57.1,0.99,0.05,-0.02,-0.14
1697353075.78,-0.2,0.41,1.08,-0.5,3.1,58.6,0.99,0.05,-0.02,-0.14
1697353075.79,-0.12,0.28,0.91,-0.5,3.1,58.6,0.99,0.05,-0.02,-0.13
1697353075.8,-0.06,0.29,0.92,-0.2,3.6,59,0.99,0.05,-0.02,-0.13
1697353075.81,-0.14,0.31,1.04,0.1,3.9,58.9,0.99,0.05,-0.02,-0.12
1697353075.82,-0.14,0.31,1.04,0.1,3.9,58.9,0.99,0.05,-0.02,-0.12
1697353075.83,-0.08,0.2,0.83,-0.4,3.8,58.4,0.99,0.05,-0.02,-0.12
1697353075.84,-0.08,0.38,0.98,-1.2,3.6,57.6,0.99,0.05,-0.02,-0.11
1697353075.85,-0.09,0.41,0.95,-0.4,1.4,55,0.99,0.05,-0.02,-0.1
1697353075.86,-0.1,0.46,0.91,-0.4,1.4,55,0.99,0.05,-0.02,-0.1
1697353075.87,-0.1,0.46,0.91,0.1,1,54.5,0.99,0.05,-0.02,-0.1
1697353075.88,-0.2,0.31,0.91,0.2,1.1,54,0.99,0.05,-0.02,-0.09
1697353075.89,-0.2,0.31,0.91,-0.1,2.3,53.3,1,0.05,-0.02,-0.09
1697353075.9,-0.18,0.38,1.06,-0.1,2.3,53.3,1,0.05,-0.02,-0.08
1697353075.91,-0.1,0.39,1,-0.6,3.2,53,1,0.05,-0.02,-0.08
1697353075.92,-0.21,0.32,1.1,0.3,4,53,1,0.05,-0.02,-0.07
1697353075.93,0.04,0.31,1.02,0.5,4.1,53,1,0.05,-0.02,-0.07
1697353075.94,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353075.95,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353075.96,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353075.97,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353075.98,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353075.99,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076.01,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076.02,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076.03,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076.04,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076.05,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076.06,0.05,0.28,0.91,0.4,4.2,52.8,1,0.05,-0.02,-0.06
1697353076.07,0.04,0.34,0.95,0,3.7,51.7,1,0.05,-0.02,0
1697353076.08,0.02,0.32,0.93,-0.5,3.9,51.1,1,0.05,-0.02,0.01
1697353076.09,0.01,0.3,0.95,-0.7,4.2,50.6,1,0.05,-0.02,0.01
1697353076.1,0.02,0.38,0.98,-1,4.6,50.2,1,0.06,-0.02,0.01
1697353076.11,-0.06,0.4,1.14,-1.4,5.1,50.6,1,0.05,-0.01,0.02
1697353076.12,-0.11,0.37,1.11,-0.8,5.2,51.1,1,0.05,-0.01,0.02
1697353076.13,-0.1,0.39,0.93,0.1,5.6,52,1,0.05,-0.01,0.03
1697353076.14,-0.1,0.39,0.93,0.1,5.6,52,1,0.05,-0.01,0.03
1697353076.15,-0.03,0.32,0.86,0.3,5.9,53,1,0.05,-0.01,0.03
1697353076.16,-0.03,0.32,0.86,0,5.4,53.9,1,0.05,-0.01,0.04
1697353076.17,0.1,0.32,0.96,-0.2,4,54.3,1,0.05,-0.01,0.04
1697353076.18,0.1,0.32,0.96,-0.2,4,54.3,1,0.05,-0.01,0.05
1697353076.19,0.13,0.29,0.96,-0.3,3.2,54,1,0.06,-0.01,0.05
1697353076.2,0.06,0.3,0.85,-0.3,2.3,53.2,1,0.06,-0.01,0.06
1697353076.21,0.06,0.3,0.85,-0.6,1.8,52.3,1,0.06,-0.01,0.06
1697353076.22,0.02,0.34,0.77,-0.8,1.9,51.8,1,0.06,-0.01,0.07
