time,torque_command,torque_feedback,motor_speed,dc_bus_voltage,dc_bus_current,control_board_temperature,hot_spot_temperature,motor_temperature
1697352992.35,1.7,3.5,396,280.6,0,39,34.6,39.4
1697352992.36,1.7,3.5,396,280.6,0,39,34.6,39.4
1697352992.37,1.7,3.5,396,280.6,0,39,34.6,39.4
1697352992.38,1.7,3.5,396,280.6,0,39,34.6,39.4
1697352992.39,1.7,3.5,396,280.6,0,39,34.6,39.4
1697352992.4,3.3,0.8,547,280.5,0,39,34.6,39.4
1697352992.41,4.4,1.4,541,280.6,0.7,39,34.6,39.4
1697352992.42,5.1,1.9,545,280.6,0.7,39,34.6,39.4
1697352992.43,5.1,2.5,550,280.6,1.2,39.1,34.6,39.6
1697352992.44,7,3.4,554,280.4,1.2,39.1,34.6,39.6
1697352992.45,7,4.1,551,280.4,1.7,39.1,34.6,39.6
1697352992.46,8.3,5,550,280.4,1.7,39.1,34.6,39.6
1697352992.47,9.8,6,544,280.3,2.6,39.1,34.6,39.6
1697352992.48,13.1,7.5,527,280.2,2.6,39.1,34.6,39.6
1697352992.49,13.1,8.8,509,280.3,3.3,39.1,34.6,39.6
1697352992.5,14.8,10.2,480,280.2,3.3,39.1,34.6,39.6
1697352992.51,16.5,11.7,452,280,3.7,39,34.6,39.6
1697352992.52,18.2,13.4,437,280,3.7,39,34.6,39.6
1697352992.53,19.9,15.5,438,280,3.7,39,34.6,39.5
1697352992.54,22.8,17.8,462,279.7,4.7,39,34.6,39.5
1697352992.55,22.8,19.6,487,279.6,6.1,39,34.6,39.5
1697352992.56,24.1,21.2,511,279.7,6.1,39,34.6,39.5
1697352992.57,26.1,23.4,529,279.7,6.1,39,34.6,39.5
1697352992.58,26.1,24.8,525,279.7,7.2,39,34.6,39.5
1697352992.59,28,26.7,506,279.5,7.2,39,34.6,39.5
1697352992.6,28.8,28.1,484,279.6,7.3,39,34.6,39.5
1697352992.61,28.8,29.3,469,279.7,7.3,39,34.6,39.5
1697352992.62,29.5,30.4,449,279.7,6.6,39,34.6,39.5
1697352992.63,30.4,31.7,433,279.7,6.6,39,34.6,39.4
1697352992.64,30.4,32.3,435,279.6,6.7,38.9,34.6,39.4
1697352992.65,31,33.3,447,279.5,6.7,38.9,34.6,39.4
1697352992.66,31.5,33.8,458,279.7,6.9,38.9,34.6,39.4
1697352992.67,31.7,34.7,497,279.4,6.9,38.9,34.6,39.4
1697352992.68,31.8,35.2,511,279.6,7.3,39,34.6,39.4
1697352992.69,31.9,35.5,515,279.3,7.3,39,34.6,39.4
1697352992.7,31.9,35.8,499,279.5,6.7,38.9,34.6,39.4
1697352992.71,31.8,36,480,279.5,6.7,38.9,34.6,39.4
1697352992.72,31.8,35.9,461,279.7,5.8,39,34.6,39.4
1697352992.73,31.8,35.9,443,279.5,5.8,39,34.6,39.6
1697352992.74,31.7,35.7,440,279.6,5.3,39,34.6,39.6
1697352992.75,31.5,35.5,447,279.6,5.3,39,34.6,39.6
