time,status,serivce used,longitude,latitude,covarience[0],covarience[1],covarience[2],covarience[3],covarience[4],covarience[5],covarience[6],covarience[7],covarience[8],covarience type,altitude,velocity_x,velocity_y
1697350698.35,NO_FIX,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UNKNOWN,0.000000,0.000000
1697350699.35,NO_FIX,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UNKNOWN,0.000000,0.000000
1697350700.35,NO_FIX,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UNKNOWN,0.000000,0.000000
1697350701.35,NO_FIX,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UNKNOWN,0.000000,0.000000
1697350702.35,NO_FIX,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UNKNOWN,0.000000,0.000000
1697350703.35,NO_FIX,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,UNKNOWN,0.000000,0.000000
1697350704.35,NO_FIX,1,121.418452,25.038045,33.100000,15.054400,0.000000,0.000000,0.000000,15.054400,0.000000,0.000000,0.000000,240.870400,APPROXIMATED,nan,nan
1697350705.35,NO_FIX,1,121.418456,25.038044,33.300000,15.054400,0.000000,0.000000,0.000000,15.054400,0.000000,0.000000,0.000000,240.870400,APPROXIMATED,nan,nan
1697350706.35,NO_FIX,1,121.418460,25.038043,33.200000,15.054400,0.000000,0.000000,0.000000,15.054400,0.000000,0.000000,0.000000,240.870400,APPROXIMATED,nan,nan
1697350707.35,NO_FIX,1,121.418464,25.038043,32.900000,15.054400,0.000000,0.000000,0.000000,15.054400,0.000000,0.000000,0.000000,240.870400,APPROXIMATED,nan,nan
1697350708.35,NO_FIX,1,121.418467,25.038044,32.800000,15.054400,0.000000,0.000000,0.000000,15.054400,0.000000,0.000000,0.000000,240.870400,APPROXIMATED,nan,nan
1697350709.35,NO_FIX,1,121.418469,25.038044,32.700000,12.110400,0.000000,0.000000,0.000000,12.110400,0.000000,0.000000,0.000000,193.766400,APPROXIMATED,nan,nan
1697350710.35,NO_FIX,1,121.418471,25.038043,32.500000,12.673600,0.000000,0.000000,0.000000,12.673600,0.000000,0.000000,0.000000,202.777600,APPROXIMATED,nan,nan
1697350711.35,NO_FIX,1,121.418472,25.038043,32.400000,12.673600,0.000000,0.000000,0.000000,12.673600,0.000000,0.000000,0.000000,202.777600,APPROXIMATED,nan,nan
1697350712.35,NO_FIX,1,121.418474,25.038043,32.400000,12.110400,0.000000,0.000000,0.000000,12.110400,0.000000,0.000000,0.000000,193.766400,APPROXIMATED,nan,nan
1697350713.35,NO_FIX,1,121.418476,25.038042,32.300000,12.110400,0.000000,0.000000,0.000000,12.110400,0.000000,0.000000,0.000000,193.766400,APPROXIMATED,nan,nan
1697350714.35,NO_FIX,1,121.418479,25.038043,32.100000,12.110400,0.000000,0.000000,0.000000,12.110400,0.000000,0.000000,0.000000,193.766400,APPROXIMATED,nan,nan
1697350715.35,NO_FIX,1,121.418481,25.038044,31.900000,12.110400,0.000000,0.000000,0.000000,12.110400,0.000000,0.000000,0.000000,193.766400,APPROXIMATED,nan,nan
1697350716.35,NO_FIX,1,121.418484,25.038044,31.900000,12.110400,0.000000,0.000000,0.000000,12.110400,0.000000,0.000000,0.000000,193.766400,APPROXIMATED,nan,nan
1697350717.35,NO_FIX,1,121.418485,25.038045,31.700000,12.110400,0.000000,0.000000,0.000000,12.110400,0.000000,0.000000,0.000000,193.766400,APPROXIMATED,nan,nan
1697350718.35,NO_FIX,1,121.418488,25.038045,31.600000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350719.35,NO_FIX,1,121.418490,25.038046,31.600000,11.833600,0.000000,0.000000,0.000000,11.833600,0.000000,0.000000,0.000000,189.337600,APPROXIMATED,nan,nan
1697350720.35,NO_FIX,1,121.418491,25.038047,31.500000,11.833600,0.000000,0.000000,0.000000,11.833600,0.000000,0.000000,0.000000,189.337600,APPROXIMATED,nan,nan
1697350721.35,NO_FIX,1,121.418492,25.038048,31.400000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350722.35,NO_FIX,1,121.418493,25.038048,31.400000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350723.35,NO_FIX,1,121.418494,25.038048,31.500000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350724.35,NO_FIX,1,121.418494,25.038048,31.700000,10.240000,0.000000,0.000000,0.000000,10.240000,0.000000,0.000000,0.000000,163.840000,APPROXIMATED,nan,nan
1697350725.35,NO_FIX,1,121.418494,25.038047,31.800000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350726.35,NO_FIX,1,121.418493,25.038047,32.200000,10.240000,0.000000,0.000000,0.000000,10.240000,0.000000,0.000000,0.000000,163.840000,APPROXIMATED,nan,nan
1697350727.35,NO_FIX,1,121.418492,25.038047,32.400000,10.240000,0.000000,0.000000,0.000000,10.240000,0.000000,0.000000,0.000000,163.840000,APPROXIMATED,nan,nan
1697350728.35,NO_FIX,1,121.418491,25.038047,32.500000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350729.35,NO_FIX,1,121.418490,25.038047,32.600000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350730.35,NO_FIX,1,121.418489,25.038046,32.800000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350731.35,NO_FIX,1,121.418489,25.038047,33.000000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350732.35,NO_FIX,1,121.418488,25.038047,33.200000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350733.35,NO_FIX,1,121.418488,25.038047,33.300000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350734.35,NO_FIX,1,121.418488,25.038047,33.400000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350735.35,NO_FIX,1,121.418488,25.038048,33.400000,8.761600,0.000000,0.000000,0.000000,8.761600,0.000000,0.000000,0.000000,140.185600,APPROXIMATED,nan,nan
1697350736.35,NO_FIX,1,121.418488,25.038048,33.500000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350737.35,NO_FIX,1,121.418488,25.038048,33.600000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350738.35,NO_FIX,1,121.418488,25.038048,33.600000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350739.35,NO_FIX,1,121.418488,25.038048,33.600000,8.294400,0.000000,0.000000,0.000000,8.294400,0.000000,0.000000,0.000000,132.710400,APPROXIMATED,nan,nan
1697350740.35,NO_FIX,1,121.418489,25.038048,33.800000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350741.35,NO_FIX,1,121.418490,25.038049,33.700000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350742.35,NO_FIX,1,121.418490,25.038049,33.800000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350743.35,NO_FIX,1,121.418491,25.038049,33.900000,11.560000,0.000000,0.000000,0.000000,11.560000,0.000000,0.000000,0.000000,184.960000,APPROXIMATED,nan,nan
1697350744.35,NO_FIX,1,121.418492,25.038049,34.000000,11.560000,0.000000,0.000000,0.000000,11.560000,0.000000,0.000000,0.000000,184.960000,APPROXIMATED,nan,nan
1697350745.35,NO_FIX,1,121.418492,25.038049,34.000000,11.560000,0.000000,0.000000,0.000000,11.560000,0.000000,0.000000,0.000000,184.960000,APPROXIMATED,nan,nan
1697350746.35,NO_FIX,1,121.418492,25.038049,34.200000,10.758400,0.000000,0.000000,0.000000,10.758400,0.000000,0.000000,0.000000,172.134400,APPROXIMATED,nan,nan
1697350747.35,NO_FIX,1,121.418492,25.038049,34.200000,9.486400,0.000000,0.000000,0.000000,9.486400,0.000000,0.000000,0.000000,151.782400,APPROXIMATED,nan,nan
1697350748.35,NO_FIX,1,121.418493,25.038049,34.300000,16.000000,0.000000,0.000000,0.000000,16.000000,0.000000,0.000000,0.000000,256.000000,APPROXIMATED,nan,nan
