time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697350710.05,52.58,0.54,0.34,0.00,0.41
1697350710.15,52.58,0.54,0.34,0.00,0.41
1697350710.25,52.58,0.54,0.34,0.00,0.41
1697350710.35,52.58,0.51,0.34,0.00,0.41
1697350710.45,52.58,0.51,0.34,0.00,0.41
1697350710.55,52.58,0.51,0.34,0.00,0.41
1697350710.65,52.58,0.51,0.34,0.00,0.41
1697350710.75,52.58,0.51,0.34,0.00,0.41
1697350710.85,52.58,0.51,0.34,0.00,0.41
1697350710.95,52.58,0.51,0.34,0.00,0.41
1697350711.05,52.58,0.51,0.34,0.00,0.41
1697350711.15,52.58,0.51,0.34,0.00,0.41
1697350711.25,52.58,0.51,0.34,0.00,0.41
1697350711.35,52.10,0.50,0.34,0.00,0.41
1697350711.45,52.10,0.50,0.34,0.00,0.41
1697350711.55,52.10,0.50,0.34,0.00,0.41
1697350711.65,52.10,0.50,0.34,0.00,0.41
1697350711.75,52.10,0.50,0.34,0.00,0.41
1697350711.85,52.10,0.50,0.34,0.00,0.41
1697350711.95,52.10,0.50,0.34,0.00,0.41
1697350712.05,52.10,0.50,0.34,0.00,0.41
1697350712.15,52.10,0.50,0.34,0.00,0.41
1697350712.25,52.10,0.50,0.34,0.00,0.41
1697350712.35,51.12,0.50,0.34,0.00,0.41
1697350712.45,51.12,0.50,0.34,0.00,0.41
1697350712.55,51.12,0.50,0.34,0.00,0.41
1697350712.65,51.12,0.50,0.34,0.00,0.41
1697350712.75,51.12,0.50,0.34,0.00,0.41
1697350712.85,51.12,0.50,0.34,0.00,0.41
1697350712.95,51.12,0.50,0.34,0.00,0.41
1697350713.05,51.12,0.50,0.34,0.00,0.41
1697350713.15,51.12,0.50,0.34,0.00,0.41
1697350713.25,51.12,0.50,0.34,0.00,0.41
1697350713.35,52.10,0.50,0.34,0.00,0.41
1697350713.45,52.10,0.50,0.34,0.00,0.41
1697350713.55,52.10,0.50,0.34,0.00,0.41
1697350713.65,52.10,0.50,0.34,0.00,0.41
1697350713.75,52.10,0.50,0.34,0.00,0.41
1697350713.85,52.10,0.50,0.34,0.00,0.41
1697350713.95,52.10,0.50,0.34,0.00,0.41
1697350714.05,52.10,0.50,0.34,0.00,0.41
1697350714.15,52.10,0.50,0.34,0.00,0.41
1697350714.25,52.10,0.50,0.34,0.00,0.41
1697350714.35,51.61,0.49,0.34,0.00,0.41
1697350714.45,51.61,0.49,0.34,0.00,0.41
1697350714.55,51.61,0.49,0.34,0.00,0.41
1697350714.65,51.61,0.49,0.34,0.00,0.41
1697350714.75,51.61,0.49,0.34,0.00,0.41
1697350714.85,51.61,0.49,0.34,0.00,0.41
1697350714.95,51.61,0.49,0.34,0.00,0.41
1697350715.05,51.61,0.49,0.34,0.00,0.41
1697350715.15,51.61,0.49,0.34,0.00,0.41
1697350715.25,51.61,0.49,0.34,0.00,0.41
1697350715.35,52.10,0.46,0.33,0.00,0.41
1697350715.45,52.10,0.46,0.33,0.00,0.41
1697350715.55,52.10,0.46,0.33,0.00,0.41
1697350715.65,52.10,0.46,0.33,0.00,0.41
1697350715.75,52.10,0.46,0.33,0.00,0.41
1697350715.85,52.10,0.46,0.33,0.00,0.41
1697350715.95,52.10,0.46,0.33,0.00,0.41
1697350716.05,52.10,0.46,0.33,0.00,0.41
1697350716.15,52.10,0.46,0.33,0.00,0.41
1697350716.25,52.10,0.46,0.33,0.00,0.41
1697350716.35,52.10,0.51,0.33,0.00,0.41
1697350716.45,52.10,0.51,0.33,0.00,0.41
1697350716.55,52.10,0.51,0.33,0.00,0.41
1697350716.65,52.10,0.51,0.33,0.00,0.41
1697350716.75,52.10,0.51,0.33,0.00,0.41
1697350716.85,52.10,0.51,0.33,0.00,0.41
1697350716.95,52.10,0.51,0.33,0.00,0.41
1697350717.05,52.10,0.51,0.33,0.00,0.41
1697350717.15,52.10,0.51,0.33,0.00,0.41
1697350717.25,52.10,0.51,0.33,0.00,0.41
1697350717.35,50.63,0.51,0.33,0.00,0.41
1697350717.45,50.63,0.51,0.33,0.00,0.41
1697350717.55,50.63,0.51,0.33,0.00,0.41
1697350717.65,50.63,0.51,0.33,0.00,0.41
1697350717.75,50.63,0.51,0.33,0.00,0.41
1697350717.85,50.63,0.51,0.33,0.00,0.41
