time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697353152.75,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.76,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.77,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.78,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.79,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.8,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.81,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.82,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.83,-0.21,0.54,1,-1.5,0.4,56.6,0.94,0.04,-0,-0.33
1697353152.84,-0.21,0.54,1,-1.5,0.4,56.6,0.99,0.04,-0,-0.1
1697353152.85,-0.12,0.4,1.06,-1.8,4.4,51.5,0.99,0.04,-0,-0.1
1697353152.86,-0.13,0.45,0.87,-1.4,4,51.2,0.99,0.04,-0,-0.09
1697353152.87,-0.16,0.41,1.11,-0.2,4,51,1,0.04,-0,-0.09
1697353152.88,-0.13,0.36,0.87,-0.2,4,51,1,0.04,-0,-0.08
1697353152.89,-0.11,0.33,0.77,-0.2,4.3,50.5,1,0.04,-0,-0.08
1697353152.9,-0.14,0.37,1.02,-0.2,4.3,50.5,1,0.04,0,-0.07
1697353152.91,-0.14,0.37,1.02,-1.4,4.7,50.4,1,0.04,0,-0.07
1697353152.92,-0.11,0.4,0.9,-2,5,50.4,1,0.04,0,-0.06
1697353152.93,-0.09,0.38,0.91,-1.5,5.3,50.3,1,0.04,0,-0.06
1697353152.94,-0.16,0.36,1.02,-1.5,5.3,50.3,1,0.04,0,-0.05
1697353152.95,-0.1,0.28,0.99,-1,5.3,50.1,1,0.04,0,-0.05
1697353152.96,-0.11,0.33,0.91,-1.2,4.7,49.8,1,0.04,0,-0.05
1697353152.97,-0.12,0.35,0.94,-1.5,4.3,49.5,1,0.04,0,-0.04
1697353152.98,-0.07,0.39,0.95,-2.2,4,49.3,1,0.04,0,-0.04
1697353152.99,-0.12,0.39,1.01,-1.8,3.4,49.1,1,0.05,0,-0.03
1697353153,-0.13,0.35,1.07,-0.8,2.7,49.1,1,0.05,0,-0.03
1697353153.01,-0.13,0.3,0.96,0,2.2,49,1,0.05,0,-0.02
1697353153.02,-0.1,0.3,0.89,-0.2,1.8,49,1,0.05,0,-0.02
1697353153.03,-0.17,0.29,1.06,-0.8,1.6,49,1,0.05,0.01,-0.01
1697353153.04,-0.15,0.34,1.03,-1.6,1.6,49,1,0.05,0.01,-0.01
1697353153.05,-0.14,0.31,0.98,-1.6,1.6,49,1,0.05,0.01,-0.01
1697353153.06,-0.12,0.3,0.9,-0.8,1.5,49,1,0.05,0.01,-0
1697353153.07,-0.12,0.3,0.9,-0.8,1.5,49,1,0.05,0.01,-0
1697353153.08,-0.16,0.29,0.9,-0.4,1.6,48.7,1,0.05,0.01,0.01
1697353153.09,-0.16,0.29,0.9,-0.4,1.9,48.6,1,0.05,0.01,0.01
1697353153.1,-0.14,0.33,1.09,-0.6,2.1,48.4,1,0.05,0.01,0.01
1697353153.11,-0.14,0.33,1.09,-0.6,2.3,48.3,1,0.05,0.01,0.02
1697353153.12,-0.11,0.32,0.86,-0.6,2.3,48.3,1,0.05,0.01,0.02
1697353153.13,-0.1,0.34,1.11,-0.4,2.4,48.2,1,0.05,0.01,0.03
1697353153.14,-0.09,0.32,0.88,0.2,1.6,48.1,1,0.05,0.01,0.03
1697353153.15,-0.09,0.32,0.88,0.2,1.3,47.9,1,0.05,0.01,0.03
1697353153.16,-0.1,0.3,0.96,0.1,0.8,47.7,1,0.05,0.01,0.04
1697353153.17,-0.1,0.3,1.11,-0.7,0,47.7,1,0.05,0.01,0.04
1697353153.18,-0.13,0.3,1.21,-0.8,0.1,47.6,1,0.05,0.01,0.05
1697353153.19,-0.14,0.31,1.1,-1,-0.8,47.5,1,0.05,0,0.05
1697353153.2,-0.1,0.34,0.98,-0.8,-0.8,47.5,1,0.05,0,0.06
1697353153.21,-0.12,0.31,0.94,-0.6,-1.1,47.5,1,0.05,0,0.06
1697353153.22,-0.09,0.32,0.94,-0.2,-1,47.5,1,0.05,0,0.06
1697353153.23,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.24,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.25,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.26,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.27,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.28,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.29,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.3,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.31,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.32,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.33,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.34,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.35,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.36,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.37,-0.03,0.32,1.04,-0.3,-0.8,47.4,1,0.05,0,0.07
1697353153.38,0.14,0.35,1.02,0.5,-3.4,47.2,0.99,0.05,-0,0.13
1697353153.39,0.09,0.31,0.84,0.3,-3.6,46.1,0.99,0.05,-0,0.14
1697353153.4,0.04,0.37,0.72,0.1,-3.4,45.3,0.99,0.05,-0,0.14
1697353153.41,-0.12,0.38,0.77,0,-2.5,45.3,0.99,0.05,-0,0.14
1697353153.42,-0.28,0.36,1.17,-0.4,-1.4,46,0.99,0.05,-0,0.14
1697353153.43,-0.21,0.34,1,-0.4,-1.4,46,0.99,0.05,-0,0.15
1697353153.44,-0.21,0.34,1,-1.4,-0.2,46.9,0.99,0.05,-0,0.15
1697353153.45,-0.08,0.29,0.99,-1.7,0.6,48,0.99,0.05,-0,0.16
1697353153.46,-0.08,0.32,0.95,-1.8,1.7,49.1,0.99,0.05,-0,0.16
1697353153.47,-0.08,0.32,0.95,-0.9,1.5,49.6,0.99,0.05,-0,0.16
1697353153.48,0.01,0.26,0.86,0.2,0.8,49.7,0.98,0.05,-0,0.17
1697353153.49,0.01,0.26,0.86,1.2,0,49.6,0.98,0.05,-0,0.17
1697353153.5,-0.02,0.24,0.96,1.9,-0.6,49.2,0.98,0.05,-0,0.18
1697353153.51,-0.02,0.21,1.07,1.9,-1.5,48.5,0.98,0.05,-0,0.18
1697353153.52,0.02,0.28,1,1.3,-2.4,47.7,0.98,0.05,-0,0.19
1697353153.53,-0.01,0.36,1.06,0.6,-2.7,47,0.98,0.05,-0,0.19
1697353153.54,-0.06,0.38,1.01,0.9,-2.5,46.6,0.98,0.05,-0,0.19
1697353153.55,-0.19,0.35,1.07,0.7,-1.8,46.8,0.98,0.05,-0,0.2
1697353153.56,-0.19,0.33,1.02,0.2,-0.3,47,0.98,0.05,-0,0.2
1697353153.57,-0.25,0.3,1.08,-0.6,1,47.4,0.98,0.05,-0,0.21
1697353153.58,-0.16,0.27,1.03,-1.9,2.2,47.6,0.98,0.05,-0,0.21
