time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697353152.75,49.66,0.48,0.32,0,0.41
1697353152.85,49.66,0.48,0.32,0,0.41
1697353152.95,49.66,0.48,0.32,0,0.41
1697353153.05,49.66,0.48,0.32,0,0.41
1697353153.15,49.66,0.48,0.32,0,0.41
1697353153.25,49.66,0.48,0.32,0,0.41
1697353153.35,49.66,0.48,0.32,0,0.41
1697353153.45,49.66,0.48,0.32,0,0.41
1697353153.55,48.69,0.45,0.32,0,0.41
1697353153.65,48.69,0.45,0.32,0,0.41
1697353153.75,48.69,0.45,0.32,0,0.41
1697353153.85,48.69,0.45,0.32,0,0.41
1697353153.95,48.69,0.45,0.32,0,0.41
1697353154.05,48.69,0.45,0.32,0,0.41
1697353154.15,48.69,0.45,0.32,0,0.41
1697353154.25,48.69,0.45,0.32,0,0.41
1697353154.35,48.69,0.45,0.32,0,0.41
1697353154.45,48.69,0.45,0.32,0,0.41
1697353154.55,49.17,0.51,0.32,0,0.41
1697353154.65,49.17,0.51,0.32,0,0.41
1697353154.75,49.17,0.51,0.32,0,0.41
1697353154.85,49.17,0.51,0.32,0,0.41
1697353154.95,49.17,0.51,0.32,0,0.41
1697353155.05,49.17,0.51,0.32,0,0.41
1697353155.15,49.17,0.51,0.32,0,0.41
1697353155.25,49.17,0.51,0.32,0,0.41
1697353155.35,49.17,0.51,0.32,0,0.41
1697353155.45,49.17,0.51,0.32,0,0.41
1697353155.55,48.2,0.49,0.32,0,0.41
1697353155.65,48.2,0.49,0.32,0,0.41
1697353155.75,48.2,0.49,0.32,0,0.41
1697353155.85,48.2,0.49,0.32,0,0.41
1697353155.95,48.2,0.49,0.32,0,0.41
1697353156.05,48.2,0.49,0.32,0,0.41
1697353156.15,48.2,0.49,0.32,0,0.41
1697353156.25,48.2,0.49,0.32,0,0.41
1697353156.35,48.2,0.49,0.32,0,0.41
1697353156.45,48.2,0.49,0.32,0,0.41
1697353156.55,48.2,0.49,0.32,0,0.41
1697353156.65,48.2,0.49,0.32,0,0.41
