time,torque_command,torque_feedback,motor_speed,dc_bus_voltage,dc_bus_current,control_board_temperature,hot_spot_temperature,motor_temperature
1697353399.15,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.16,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.17,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.18,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.19,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.2,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.21,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.22,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.23,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.24,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.25,-0.9,-0.9,776,276.8,-0.2,39.6,36.6,42.3
1697353399.26,27.6,27.6,443,275.5,6.7,39.4,36.6,42.3
1697353399.27,27.7,29.1,450,275.5,6.7,39.4,36.6,42.3
1697353399.28,27.7,30,504,275.4,7.3,39.4,36.6,42.3
1697353399.29,27.6,30.8,570,275.3,7.3,39.4,36.6,42.4
1697353399.3,27.3,31.5,649,275,9,39.5,36.6,42.4
1697353399.31,26.8,31.8,707,275,9,39.5,36.6,42.4
1697353399.32,26.3,31.9,769,275,9.6,39.5,36.6,42.4
1697353399.33,25.8,31.9,840,275,9.6,39.5,36.6,42.4
1697353399.34,25.2,31.6,854,275.2,9.4,39.5,36.6,42.4
1697353399.35,24.5,31.1,806,275.1,9.4,39.5,36.6,42.4
1697353399.36,23.9,30.6,733,275.3,6.4,39.5,36.6,42.4
1697353399.37,23.2,29.7,599,275.7,6.4,39.5,36.6,42.4
1697353399.38,22.4,28.9,519,275.8,6.4,39.5,36.6,42.4
1697353399.39,21.1,27.9,478,275.9,3.7,39.5,36.6,42.3
1697353399.4,19.7,26.8,478,276,3.7,39.5,36.6,42.3
1697353399.41,18.3,25.2,519,276,2.9,39.5,36.6,42.3
1697353399.42,16.9,23.9,550,276,2.9,39.5,36.6,42.3
1697353399.43,15.5,22,590,276.1,2.3,39.5,36.6,42.3
1697353399.44,14.1,20.5,600,276.2,2.3,39.5,36.6,42.3
1697353399.45,13,18.9,615,276.1,1.6,39.4,36.6,42.3
1697353399.46,11.7,17.4,630,276.2,1.6,39.4,36.6,42.3
1697353399.47,10.8,15.3,649,276.3,1.2,39.4,36.6,42.3
1697353399.48,10.3,13.9,648,276.4,1.2,39.4,36.6,42.3
1697353399.49,10.3,13,647,276.4,0.9,39.4,36.6,42.3
1697353399.5,10,11.1,649,276.3,0.9,39.4,36.6,42.3
1697353399.51,10.3,10.2,658,276.4,0.9,39.4,36.6,42.3
1697353399.52,11,9.5,665,276.3,0.9,39.4,36.6,42.3
1697353399.53,11.7,8.9,665,276.4,1.3,39.4,36.6,42.3
1697353399.54,11.7,8.7,668,276.2,1.3,39.4,36.6,42.3
1697353399.55,11.5,8.5,672,276.4,1.5,39.4,36.6,42.3
1697353399.56,11.7,8.4,688,276.2,1.5,39.4,36.6,42.3
1697353399.57,11.7,8.3,692,276.3,1.7,39.3,36.6,42.3
1697353399.58,11.9,8.4,696,276.2,1.7,39.3,36.6,42.3
1697353399.59,11.9,8.5,702,276.2,1.7,39.3,36.6,42.4
1697353399.6,12.4,8.7,721,276.1,2.1,39.3,36.6,42.4
1697353399.61,12.4,8.9,731,276.2,2.1,39.3,36.6,42.4
1697353399.62,12.1,9.3,732,276.2,2.5,39.3,36.6,42.4
1697353399.63,11.7,9.4,727,276.2,2.5,39.3,36.6,42.4
1697353399.64,11.7,9.6,714,276.2,2.4,39.4,36.6,42.4
1697353399.65,12.1,9.9,667,276.1,2.4,39.4,36.6,42.4
1697353399.66,12.1,9.9,667,276.1,2.4,39.4,36.6,42.4
1697353399.67,12.1,9.9,667,276.1,2.4,39.4,36.6,42.4
1697353399.68,12.1,9.9,667,276.1,2.4,39.4,36.6,42.4
1697353399.69,12.1,9.9,667,276.1,2.4,39.4,36.6,42.4
1697353399.7,12.1,9.9,667,276.1,2.4,39.4,36.6,42.4
1697353399.71,12.1,9.9,667,276.1,2.4,39.4,36.6,42.4
