time,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1697352469.35,-0.37,1.09,1.15,4.2,2.8,75.8,0.86,0,-0.03,-0.52
1697352469.36,-0.15,1.18,0.93,3.5,1.7,91.8,0.91,0.01,-0.02,-0.42
1697352469.37,-0.3,1.15,1.14,2.6,2.8,89.9,0.91,0.01,-0.02,-0.42
1697352469.38,-0.33,1.25,0.79,0.8,4.6,89,0.91,0.01,-0.02,-0.41
1697352469.39,-0.52,1.06,1.21,-0.2,5.6,87.6,0.92,0.01,-0.02,-0.4
1697352469.4,-0.41,1.3,0.96,-1.9,6.8,87.3,0.92,0.01,-0.02,-0.4
1697352469.41,-0.43,1.24,0.93,-1.3,7.8,87.4,0.92,0.01,-0.02,-0.39
1697352469.42,-0.29,1.39,0.46,0.1,7.4,87.8,0.93,0.01,-0.02,-0.38
1697352469.43,-0.44,1.24,0.83,0.8,6.7,88.8,0.93,0.01,-0.02,-0.37
1697352469.44,-0.31,1.2,1.09,1.1,6.2,89.9,0.93,0.01,-0.02,-0.36
1697352469.45,-0.48,1.02,1,-0.4,5.4,90.4,0.93,0.01,-0.02,-0.36
1697352469.46,-0.59,0.95,0.76,-1.5,5.6,89.8,0.94,0.01,-0.02,-0.35
1697352469.47,-0.69,0.82,0.58,-2,5.6,89.7,0.94,0.01,-0.02,-0.34
1697352469.48,-0.48,1.06,0.61,-3.9,6.2,89,0.94,0,-0.02,-0.33
1697352469.49,-0.48,1.06,0.61,-6,6.5,89.1,0.94,0,-0.02,-0.33
1697352469.5,-0.1,1.21,1.26,-5.3,5.9,89.4,0.95,0,-0.02,-0.32
1697352469.51,-0.33,0.93,0.71,-3,4.5,90.6,0.95,0,-0.02,-0.31
1697352469.52,-0.33,0.93,0.71,-3,4.5,90.6,0.95,0,-0.02,-0.31
1697352469.53,-0.22,0.87,1.12,2.1,1.1,90.7,0.95,0,-0.02,-0.3
1697352469.54,-0.22,0.87,1.12,2.1,1.1,90.7,0.95,0,-0.02,-0.3
1697352469.55,-0.18,0.83,1.17,-0.6,-1.5,88.9,0.96,0,-0.02,-0.29
1697352469.56,0.01,0.84,0.86,-3.1,-1.5,88,0.96,0,-0.02,-0.28
1697352469.57,0.01,0.84,0.86,-3.1,-1.5,88,0.96,0,-0.02,-0.27
1697352469.58,0.08,0.8,1.01,-4.5,-1.3,86.1,0.96,0,-0.02,-0.27
1697352469.59,-0.02,1,0.86,-5.1,-1.4,85,0.97,0,-0.02,-0.26
1697352469.6,-0.02,1,0.86,-4.7,-1.6,84.4,0.97,0,-0.02,-0.25
1697352469.61,-0.17,1.15,1.38,-0.5,0,83.3,0.97,0,-0.02,-0.24
1697352469.62,-0.02,0.86,0.74,-0.5,0,83.3,0.97,0,-0.02,-0.24
1697352469.63,-0.27,0.75,1.14,3,1.3,83.1,0.97,0,-0.02,-0.23
1697352469.64,-0.17,1.02,0.45,3.1,2.7,83.2,0.98,0,-0.02,-0.22
1697352469.65,-0.07,0.82,1.2,0.9,3.5,83.7,0.98,0,-0.02,-0.21
1697352469.66,-0.14,1.09,1.11,-2.2,4.1,84.5,0.98,0,-0.02,-0.21
1697352469.67,-0.26,1.14,0.91,-4.6,3.2,86,0.98,0,-0.02,-0.2
1697352469.68,-0.08,1.05,0.83,-2.4,2.2,86.8,0.98,0,-0.02,-0.19
1697352469.69,-0.21,1.04,1.43,0.5,1.2,88.9,0.98,0,-0.02,-0.19
1697352469.7,-0.13,0.82,1.57,3,0.3,89.7,0.98,0,-0.02,-0.17
1697352469.71,0.02,0.88,0.84,3.3,-0.5,90.2,0.99,0,-0.02,-0.17
1697352469.72,0.02,0.84,0.95,2.2,-1.4,90.2,0.99,0,-0.02,-0.16
1697352469.73,-0.07,1,1.35,0.1,-2,90.6,0.99,0,-0.02,-0.15
1697352469.74,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.75,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.76,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.77,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.78,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.79,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.8,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.81,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.82,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.83,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.84,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.85,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
1697352469.86,-0.12,0.95,1,-0.2,-2.4,90.3,0.99,0,-0.02,-0.14
