time,torque_command,torque_feedback,motor_speed,dc_bus_voltage,dc_bus_current,control_board_temperature,hot_spot_temperature,motor_temperature
1697352469.35,51.9,67.4,1134,279.7,34.9,38.1,34.7,40.3
1697352469.36,16.3,32.4,932,283.9,4.1,38,34.7,40.3
1697352469.37,10,27.6,922,284.4,4.1,38,34.7,40.3
1697352469.38,0,20.5,888,284.7,0,38,34.7,40.3
1697352469.39,0,15.1,847,284.9,-0.9,38.1,34.7,40.3
1697352469.4,-0.9,10.3,816,285,-0.9,38.1,34.7,40.3
1697352469.41,-0.9,4.8,769,285,-1,38,34.7,40.3
1697352469.42,-0.9,1.3,723,284.7,-1,38,34.7,40.3
1697352469.43,-0.9,-1.5,684,285,-1,38,34.7,40.3
1697352469.44,-0.9,-4.1,687,284.9,-1.5,38.1,34.7,39.6
1697352469.45,-0.9,-6.7,791,285.2,-1.5,38.1,34.7,39.6
1697352469.46,-0.9,-8.2,898,285.2,-3.1,38.2,34.7,39.6
1697352469.47,0,-9.2,1005,285.2,-3.1,38.2,34.7,39.6
1697352469.48,2.8,-9.4,1132,285,-2.9,38.1,34.7,39.6
1697352469.49,8.8,-8.9,1163,284.7,-2.9,38.1,34.7,39.6
1697352469.5,14.8,-5.8,1181,284.3,1.8,38.1,34.7,39.6
1697352469.51,20.6,-2.9,1185,283.7,1.8,38.1,34.7,39.6
1697352469.52,26,0.7,1193,283.1,9.1,38.1,34.7,39.6
1697352469.53,33.7,6.3,1256,282.2,9.1,38.1,34.7,39.6
1697352469.54,33.7,9.3,1288,282.2,17.6,38.1,34.7,39.6
1697352469.55,36.3,15.1,1324,281.6,17.6,38.1,34.7,40
1697352469.56,38.1,19.5,1279,281.5,21.4,38.1,34.7,40
1697352469.57,39.4,25,1119,281.5,21.4,38.1,34.7,40
1697352469.58,40.3,28.7,1015,281.6,19.2,38.1,34.7,40
1697352469.59,41.6,33.1,944,281.5,19.2,38.1,34.7,40
1697352469.6,41.6,36,973,281.4,21.1,38.1,34.7,40
1697352469.61,42,38.6,1045,281,21.1,38.1,34.7,40
1697352469.62,42.9,41.7,1103,280.8,21.1,38.1,34.7,40
1697352469.63,42.9,43.6,1121,280.8,24.3,38,34.7,40
1697352469.64,43.7,45.4,1116,280.9,24.3,38,34.7,40
1697352469.65,44.3,47.4,1079,281,23.9,38,34.7,39.8
1697352469.66,44.3,48.5,1083,280.8,23.9,38,34.7,39.8
1697352469.67,44.3,49.5,1118,280.7,23.6,38,34.7,39.8
1697352469.68,43.7,50.3,1173,280.6,23.6,38,34.7,39.8
1697352469.69,43.7,50.6,1208,280.6,24.6,38,34.7,39.8
1697352469.7,43.4,50.9,1221,280.6,24.6,38,34.7,39.8
1697352469.71,42.9,50.8,1161,281,22.6,37.9,34.7,39.8
1697352469.72,42.7,50.6,1098,281.3,22.6,37.9,34.7,39.8
1697352469.73,42.3,50.3,1056,281.3,18.7,38,34.7,39.8
1697352469.74,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.75,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.76,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.77,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.78,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.79,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.8,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.81,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.82,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.83,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.84,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.85,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.86,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.87,42.2,49.7,1028,281.5,18.7,38,34.7,39.8
1697352469.88,42.2,41.6,991,281.9,14.3,38,34.7,39.8
1697352469.89,43.5,41.7,997,282,14.3,38,34.7,39.8
1697352469.9,43.5,42,992,281.9,15,38,34.7,39.8
1697352469.91,44.2,42.3,978,281.8,15,38,34.7,39.8
1697352469.92,44.9,42.7,981,281.6,16,37.9,34.7,39.8
1697352469.93,45.6,43.3,991,281.6,16,37.9,34.7,39.8
1697352469.94,46,43.8,979,281.7,16.3,38,34.7,39.8
1697352469.95,46.5,44.4,988,281.7,16.3,38,34.7,39.8
1697352469.96,46.5,44.7,997,281.5,17.1,38,34.7,39.8
1697352469.97,46.7,45.3,1006,281.5,17.1,38,34.7,39.9
1697352469.98,47.2,45.9,1044,281.2,18.3,38,34.7,39.9
1697352469.99,47.2,46.3,1067,281.2,18.3,38,34.7,39.9
1697352470,47.7,46.8,1065,281.3,19.1,38,34.7,39.9
1697352470.01,49.1,47.4,1071,281.2,19.1,38,34.7,39.9
1697352470.02,49.1,48,1062,281.2,19.1,38,34.7,39.9
1697352470.03,49.8,48.5,1058,281,19.7,38,34.7,39.9
1697352470.04,51.4,49.4,1096,280.8,19.7,38,34.7,39.9
1697352470.05,51.4,50,1118,280.7,21.6,38,34.7,39.9
1697352470.06,52.1,50.7,1138,280.7,21.6,38,34.7,39.9
1697352470.07,52.4,51.4,1167,280.4,23.6,38,34.7,40.6
1697352470.08,52.9,52.2,1164,280.5,23.6,38,34.7,40.6
1697352470.09,52.9,52.7,1183,280.5,24.1,38.1,34.7,40.6
1697352470.1,53.3,53.3,1211,280.3,24.1,38.1,34.7,40.6
1697352470.11,53.3,53.5,1215,280.2,25.5,38,34.7,40.6
1697352470.12,53.3,54.1,1246,280.4,25.5,38,34.7,40.6
1697352470.13,53.5,54.4,1230,280.3,25.5,38,34.7,40.6
1697352470.14,53.5,54.7,1212,280.1,25.5,38,34.7,40.6
1697352470.15,53.5,54.9,1175,280.5,24,38,34.7,40.6
1697352470.16,53.4,55,1118,280.5,24,38,34.7,40.6
1697352470.17,53.4,55,1107,280.7,21.8,37.9,34.7,40.6
1697352470.18,53.3,55,1069,280.9,21.8,37.9,34.7,40
1697352470.19,53.3,55,1061,280.7,21.4,37.9,34.7,40
1697352470.2,53.5,55,1089,280.6,21.4,37.9,34.7,40
1697352470.21,53.6,54.9,1094,280.5,21.4,37.9,34.7,40
1697352470.22,53.7,54.9,1122,280.5,22.1,37.9,34.7,40
1697352470.23,53.9,54.9,1143,280.3,23,37.9,34.7,40
1697352470.24,54.1,54.9,1148,280.4,23,37.9,34.7,40
1697352470.25,54.3,55,1176,280.2,23,37.9,34.7,40
1697352470.26,54.5,55,1192,280.3,23.9,37.9,34.7,40
1697352470.27,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.28,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.29,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.3,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.31,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.32,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.33,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.34,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.35,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.36,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.37,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.38,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.39,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.4,54.9,55.1,1212,280.2,23.9,37.9,34.7,40
1697352470.41,55.3,56.4,1140,280.5,22.3,37.9,34.7,40
1697352470.42,55.3,56.3,1138,280.5,22.3,37.9,34.7,40
1697352470.43,55.5,56.2,1135,280.5,22.7,37.9,34.7,40
1697352470.44,55.5,56.1,1131,280.6,22.7,37.9,34.7,40
1697352470.45,55.2,55.9,1120,280.5,22.1,37.9,34.7,40
1697352470.46,55.5,55.8,1176,280.4,22.1,38,34.7,40
1697352470.47,56,55.8,1222,280.2,23.6,38,34.7,40
1697352470.48,56.2,55.9,1275,280,23.6,38,34.7,40
1697352470.49,56.5,55.9,1289,279.9,26.7,38,34.7,40
1697352470.5,56.7,56.2,1282,280,26.7,38,34.7,39.9
1697352470.51,56.8,56.3,1262,280,26.3,38,34.7,39.9
1697352470.52,57,56.5,1211,280.5,26.3,38,34.7,39.9
1697352470.53,57,56.7,1177,280.2,24.6,38,34.7,39.9
1697352470.54,56.9,56.7,1147,280,24.6,38,34.7,39.9
1697352470.55,56.7,56.8,1121,280.5,23.2,38,34.7,39.9
1697352470.56,56.4,56.8,1110,280.6,23.2,38,34.7,39.9
1697352470.57,56.2,56.7,1091,280.5,21.6,38.1,34.7,39.9
1697352470.58,55.2,56.5,1079,280.4,21.6,38.1,34.7,39.9
1697352470.59,55.2,56.4,1087,280.8,21.4,38,34.7,39.9
1697352470.6,55,56.1,1094,280.6,21.4,38,34.7,40
1697352470.61,54.6,55.8,1127,280.5,21.9,38,34.7,40
1697352470.62,54.6,55.5,1134,280.7,21.9,38,34.7,40
1697352470.63,54.5,55.3,1136,280.6,21.9,37.9,34.7,40
1697352470.64,54.6,55.1,1155,280.3,21.8,37.9,34.7,40
1697352470.65,54.8,54.9,1172,280.2,23.2,38,34.7,40
1697352470.66,55.1,54.8,1213,280.1,23.2,38,34.7,40
1697352470.67,55.4,54.9,1257,280.2,23.2,38,34.7,40
1697352470.68,55.7,55,1284,279.9,25.4,38,34.7,40
1697352470.69,56,55.1,1297,280,25.4,38,34.7,40
1697352470.7,56,55.2,1270,279.9,25.8,38,34.7,40.3
1697352470.71,56,55.4,1246,280.2,25.8,38,34.7,40.3
1697352470.72,55.8,55.4,1207,280.2,24.3,38,34.7,40.3
1697352470.73,55.5,55.5,1158,280.4,24.3,38,34.7,40.3
