time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697352469.35,50.15,0.52,0.32,0,0.41
1697352469.45,50.63,0.49,0.32,0,0.41
1697352469.55,50.63,0.49,0.32,0,0.41
1697352469.65,50.63,0.49,0.32,0,0.41
1697352469.75,50.63,0.49,0.32,0,0.41
1697352469.85,50.63,0.49,0.32,0,0.41
1697352469.95,50.63,0.49,0.32,0,0.41
1697352470.05,50.63,0.49,0.32,0,0.41
1697352470.15,50.63,0.49,0.32,0,0.41
1697352470.25,50.63,0.49,0.32,0,0.41
1697352470.35,50.63,0.49,0.32,0,0.41
1697352470.45,50.15,0.5,0.32,0,0.41
1697352470.55,50.15,0.5,0.32,0,0.41
1697352470.65,50.15,0.5,0.32,0,0.41
1697352470.75,50.15,0.5,0.32,0,0.41
1697352470.85,50.15,0.5,0.32,0,0.41
1697352470.95,50.15,0.5,0.32,0,0.41
1697352471.05,50.15,0.5,0.32,0,0.41
1697352471.15,50.15,0.5,0.32,0,0.41
1697352471.25,50.15,0.5,0.32,0,0.41
1697352471.35,50.15,0.5,0.32,0,0.41
1697352471.45,49.17,0.49,0.32,0,0.41
1697352471.55,49.17,0.49,0.32,0,0.41
1697352471.65,49.17,0.49,0.32,0,0.41
1697352471.75,49.17,0.49,0.32,0,0.41
1697352471.85,49.17,0.49,0.32,0,0.41
1697352471.95,49.17,0.49,0.32,0,0.41
1697352472.05,49.17,0.49,0.32,0,0.41
1697352472.15,49.17,0.49,0.32,0,0.41
1697352472.25,49.17,0.49,0.32,0,0.41
1697352472.35,49.17,0.49,0.32,0,0.41
1697352472.45,49.17,0.48,0.32,0,0.41
1697352472.55,49.17,0.48,0.32,0,0.41
1697352472.65,49.17,0.48,0.32,0,0.41
1697352472.75,49.17,0.48,0.32,0,0.41
1697352472.85,49.17,0.48,0.32,0,0.41
1697352472.95,49.17,0.48,0.32,0,0.41
1697352473.05,49.17,0.48,0.32,0,0.41
1697352473.15,49.17,0.48,0.32,0,0.41
1697352473.25,49.17,0.48,0.32,0,0.41
1697352473.35,49.17,0.48,0.32,0,0.41
1697352473.45,49.17,0.48,0.32,0,0.41
1697352473.55,49.17,0.51,0.32,0,0.41
1697352473.65,49.17,0.51,0.32,0,0.41
1697352473.75,49.17,0.51,0.32,0,0.41
1697352473.85,49.17,0.51,0.32,0,0.41
1697352473.95,49.17,0.51,0.32,0,0.41
1697352474.05,49.17,0.51,0.32,0,0.41
1697352474.15,49.17,0.51,0.32,0,0.41
1697352474.25,49.17,0.51,0.32,0,0.41
1697352474.35,49.17,0.51,0.32,0,0.41
1697352474.45,49.66,0.52,0.32,0,0.41
1697352474.55,49.66,0.52,0.32,0,0.41
1697352474.65,49.66,0.52,0.32,0,0.41
1697352474.75,49.66,0.52,0.32,0,0.41
1697352474.85,49.66,0.52,0.32,0,0.41
1697352474.95,49.66,0.52,0.32,0,0.41
1697352475.05,49.66,0.52,0.32,0,0.41
1697352475.15,49.66,0.52,0.32,0,0.41
1697352475.25,49.66,0.52,0.32,0,0.41
1697352475.35,49.66,0.52,0.32,0,0.41
1697352475.45,49.66,0.52,0.32,0,0.41
1697352475.55,49.66,0.52,0.32,0,0.41
1697352475.65,49.66,0.52,0.32,0,0.41
1697352475.75,49.66,0.52,0.32,0,0.41
1697352475.85,49.66,0.52,0.32,0,0.41
1697352475.95,49.66,0.52,0.32,0,0.41
1697352476.05,49.66,0.52,0.32,0,0.41
1697352476.15,49.66,0.52,0.32,0,0.41
1697352476.25,49.66,0.52,0.32,0,0.41
1697352476.35,49.66,0.52,0.32,0,0.41
1697352476.45,49.66,0.51,0.32,0,0.41
1697352476.55,49.66,0.51,0.32,0,0.41
1697352476.65,49.66,0.51,0.32,0,0.41
1697352476.75,49.66,0.51,0.32,0,0.41
1697352476.85,49.66,0.51,0.32,0,0.41
1697352476.95,49.66,0.51,0.32,0,0.41
1697352477.05,49.66,0.51,0.32,0,0.41
1697352477.15,49.66,0.51,0.32,0,0.41
1697352477.25,49.66,0.51,0.32,0,0.41
1697352477.35,49.66,0.51,0.32,0,0.41
1697352477.45,50.15,0.54,0.32,0,0.41
1697352477.55,50.15,0.54,0.32,0,0.41
1697352477.65,50.15,0.54,0.32,0,0.41
1697352477.75,50.15,0.54,0.32,0,0.41
1697352477.85,50.15,0.54,0.32,0,0.41
