time,cpu_temp,cpu_usage,mem_usage,swap_usage,disk_usage
1697352617.35,49.66,0.48,0.32,0,0.41
1697352617.45,49.66,0.54,0.32,0,0.41
1697352617.55,49.66,0.54,0.32,0,0.41
1697352617.65,49.66,0.54,0.32,0,0.41
1697352617.75,49.66,0.54,0.32,0,0.41
1697352617.85,49.66,0.54,0.32,0,0.41
1697352617.95,49.66,0.54,0.32,0,0.41
1697352618.05,49.66,0.54,0.32,0,0.41
1697352618.15,49.66,0.54,0.32,0,0.41
1697352618.25,49.66,0.54,0.32,0,0.41
1697352618.35,49.66,0.54,0.32,0,0.41
1697352618.45,49.17,0.52,0.32,0,0.41
1697352618.55,49.17,0.52,0.32,0,0.41
1697352618.65,49.17,0.52,0.32,0,0.41
1697352618.75,49.17,0.52,0.32,0,0.41
1697352618.85,49.17,0.52,0.32,0,0.41
1697352618.95,49.17,0.52,0.32,0,0.41
1697352619.05,49.17,0.52,0.32,0,0.41
1697352619.15,49.17,0.52,0.32,0,0.41
1697352619.25,49.17,0.52,0.32,0,0.41
1697352619.35,49.17,0.52,0.32,0,0.41
1697352619.45,49.17,0.52,0.32,0,0.41
1697352619.55,49.17,0.52,0.32,0,0.41
1697352619.65,49.17,0.52,0.32,0,0.41
1697352619.75,49.17,0.52,0.32,0,0.41
1697352619.85,49.17,0.52,0.32,0,0.41
1697352619.95,49.17,0.52,0.32,0,0.41
1697352620.05,49.17,0.52,0.32,0,0.41
1697352620.15,49.17,0.52,0.32,0,0.41
1697352620.25,49.17,0.52,0.32,0,0.41
1697352620.35,49.17,0.52,0.32,0,0.41
1697352620.45,49.17,0.52,0.32,0,0.41
1697352620.55,49.66,0.51,0.32,0,0.41
1697352620.65,49.66,0.51,0.32,0,0.41
1697352620.75,49.66,0.51,0.32,0,0.41
1697352620.85,49.66,0.51,0.32,0,0.41
1697352620.95,49.66,0.51,0.32,0,0.41
1697352621.05,49.66,0.51,0.32,0,0.41
1697352621.15,49.66,0.51,0.32,0,0.41
1697352621.25,49.66,0.51,0.32,0,0.41
1697352621.35,49.66,0.51,0.32,0,0.41
1697352621.45,49.66,0.51,0.32,0,0.41
1697352621.55,50.15,0.52,0.32,0,0.41
1697352621.65,50.15,0.52,0.32,0,0.41
1697352621.75,50.15,0.52,0.32,0,0.41
1697352621.85,50.15,0.52,0.32,0,0.41
1697352621.95,50.15,0.52,0.32,0,0.41
1697352622.05,50.15,0.52,0.32,0,0.41
1697352622.15,50.15,0.52,0.32,0,0.41
1697352622.25,50.15,0.52,0.32,0,0.41
1697352622.35,50.15,0.52,0.32,0,0.41
1697352622.45,49.17,0.49,0.32,0,0.41
1697352622.55,49.17,0.49,0.32,0,0.41
1697352622.65,49.17,0.49,0.32,0,0.41
1697352622.75,49.17,0.49,0.32,0,0.41
1697352622.85,49.17,0.49,0.32,0,0.41
1697352622.95,49.17,0.49,0.32,0,0.41
1697352623.05,49.17,0.49,0.32,0,0.41
1697352623.15,49.17,0.49,0.32,0,0.41
1697352623.25,49.17,0.49,0.32,0,0.41
1697352623.35,49.17,0.49,0.32,0,0.41
1697352623.45,49.66,0.5,0.32,0,0.41
1697352623.55,49.66,0.5,0.32,0,0.41
1697352623.65,49.66,0.5,0.32,0,0.41
1697352623.75,49.66,0.5,0.32,0,0.41
1697352623.85,49.66,0.5,0.32,0,0.41
1697352623.95,49.66,0.5,0.32,0,0.41
1697352624.05,49.66,0.5,0.32,0,0.41
1697352624.15,49.66,0.5,0.32,0,0.41
1697352624.25,49.66,0.5,0.32,0,0.41
1697352624.35,49.66,0.5,0.32,0,0.41
1697352624.45,50.15,0.5,0.32,0,0.41
1697352624.55,50.15,0.5,0.32,0,0.41
1697352624.65,50.15,0.5,0.32,0,0.41
1697352624.75,50.15,0.5,0.32,0,0.41
1697352624.85,50.15,0.5,0.32,0,0.41
1697352624.95,50.15,0.5,0.32,0,0.41
1697352625.05,50.15,0.5,0.32,0,0.41
1697352625.15,50.15,0.5,0.32,0,0.41
1697352625.25,50.15,0.5,0.32,0,0.41
1697352625.35,50.15,0.5,0.32,0,0.41
1697352625.45,50.15,0.49,0.32,0,0.41
1697352625.55,50.15,0.49,0.32,0,0.41
1697352625.65,50.15,0.49,0.32,0,0.41
1697352625.75,50.15,0.49,0.32,0,0.41
1697352625.85,50.15,0.49,0.32,0,0.41
1697352625.95,50.15,0.49,0.32,0,0.41
1697352626.05,50.15,0.49,0.32,0,0.41
1697352626.15,50.15,0.49,0.32,0,0.41
1697352626.25,50.15,0.49,0.32,0,0.41
1697352626.35,50.15,0.49,0.32,0,0.41
1697352626.45,49.17,0.53,0.32,0,0.41
1697352626.55,49.17,0.53,0.32,0,0.41
1697352626.65,49.17,0.53,0.32,0,0.41
1697352626.75,49.17,0.53,0.32,0,0.41
1697352626.85,49.17,0.53,0.32,0,0.41
1697352626.95,49.17,0.53,0.32,0,0.41
1697352627.05,49.17,0.53,0.32,0,0.41
1697352627.15,49.17,0.53,0.32,0,0.41
1697352627.25,49.17,0.53,0.32,0,0.41
1697352627.35,49.17,0.53,0.32,0,0.41
1697352627.45,48.69,0.53,0.32,0,0.41
1697352627.55,48.69,0.53,0.32,0,0.41
1697352627.65,48.69,0.53,0.32,0,0.41
1697352627.75,48.69,0.53,0.32,0,0.41
1697352627.85,48.69,0.53,0.32,0,0.41
1697352627.95,48.69,0.53,0.32,0,0.41
1697352628.05,48.69,0.53,0.32,0,0.41
1697352628.15,48.69,0.53,0.32,0,0.41
1697352628.25,48.69,0.53,0.32,0,0.41
1697352628.35,48.69,0.53,0.32,0,0.41
1697352628.45,48.69,0.53,0.32,0,0.41
1697352628.55,50.63,0.55,0.32,0,0.41
1697352628.65,50.63,0.55,0.32,0,0.41
1697352628.75,50.63,0.55,0.32,0,0.41
1697352628.85,50.63,0.55,0.32,0,0.41
1697352628.95,50.63,0.55,0.32,0,0.41
1697352629.05,50.63,0.55,0.32,0,0.41
1697352629.15,50.63,0.55,0.32,0,0.41
1697352629.25,50.63,0.55,0.32,0,0.41
1697352629.35,50.63,0.55,0.32,0,0.41
1697352629.45,49.17,0.49,0.32,0,0.41
1697352629.55,49.17,0.49,0.32,0,0.41
1697352629.65,49.17,0.49,0.32,0,0.41
1697352629.75,49.17,0.49,0.32,0,0.41
1697352629.85,49.17,0.49,0.32,0,0.41
1697352629.95,49.17,0.49,0.32,0,0.41
1697352630.05,49.17,0.49,0.32,0,0.41
1697352630.15,49.17,0.49,0.32,0,0.41
1697352630.25,49.17,0.49,0.32,0,0.41
1697352630.35,49.17,0.49,0.32,0,0.41
1697352630.45,49.17,0.49,0.32,0,0.41
1697352630.55,49.17,0.49,0.32,0,0.41
1697352630.65,49.17,0.49,0.32,0,0.41
1697352630.75,49.17,0.49,0.32,0,0.41
1697352630.85,49.17,0.49,0.32,0,0.41
1697352630.95,49.17,0.49,0.32,0,0.41
1697352631.05,49.17,0.49,0.32,0,0.41
1697352631.15,49.17,0.49,0.32,0,0.41
1697352631.25,49.17,0.49,0.32,0,0.41
1697352631.35,49.17,0.49,0.32,0,0.41
1697352631.45,49.17,0.52,0.32,0,0.41
1697352631.55,49.17,0.52,0.32,0,0.41
